,coin,exchange,time,close,high,low,open,volumefrom,volumeto
0,2GIVE,Bittrex,03-04-2018 07:30:00,7e-07,7e-07,6.9e-07,7e-07,8659.96,0.00599
1,2GIVE,Bittrex,03-04-2018 08:30:00,7e-07,7e-07,7e-07,7e-07,0.0,0.0
2,2GIVE,Bittrex,03-04-2018 09:30:00,6.9e-07,7e-07,6.9e-07,7e-07,48447.57,0.03343
3,2GIVE,Bittrex,03-04-2018 10:30:00,7e-07,7e-07,6.9e-07,6.9e-07,4601.41,0.003221
4,2GIVE,Bittrex,03-04-2018 11:30:00,7e-07,7e-07,6.9e-07,7e-07,69736.2,0.04831
5,2GIVE,Bittrex,03-04-2018 12:30:00,6.9e-07,7e-07,6.9e-07,7e-07,6250.96,0.004313
6,ABY,Bittrex,03-04-2018 07:30:00,8.1e-07,8.4e-07,8.1e-07,8.1e-07,37211.11,0.03021
7,ABY,Bittrex,03-04-2018 08:30:00,8.1e-07,8.3e-07,8.1e-07,8.1e-07,20465.13,0.01682
8,ABY,Bittrex,03-04-2018 09:30:00,8e-07,8.3e-07,8e-07,8.1e-07,163922.83,0.1327
9,ABY,Bittrex,03-04-2018 10:30:00,8.2e-07,8.3e-07,8e-07,8e-07,9615.66,0.007893
10,ABY,Bittrex,03-04-2018 11:30:00,8e-07,8.2e-07,8e-07,8.2e-07,52388.42,0.04238
11,ABY,Bittrex,03-04-2018 12:30:00,8.3e-07,8.3e-07,8e-07,8e-07,43588.43,0.03605
12,ADA,Binance,03-04-2018 07:30:00,2.185e-05,2.194e-05,2.173e-05,2.173e-05,4662685.0,101.87
13,ADA,Binance,03-04-2018 08:30:00,2.173e-05,2.19e-05,2.168e-05,2.185e-05,5624025.0,122.62
14,ADA,Binance,03-04-2018 09:30:00,2.209e-05,2.228e-05,2.171e-05,2.173e-05,13647193.0,300.2
15,ADA,Binance,03-04-2018 10:30:00,2.189e-05,2.225e-05,2.188e-05,2.209e-05,7037517.0,154.97
16,ADA,Binance,03-04-2018 11:30:00,2.183e-05,2.202e-05,2.174e-05,2.189e-05,5322025.0,116.33
17,ADA,Binance,03-04-2018 12:30:00,2.202e-05,2.203e-05,2.176e-05,2.183e-05,5933532.0,129.89
18,ADA,Bittrex,03-04-2018 07:30:00,2.18e-05,2.19e-05,2.17e-05,2.176e-05,883250.16,19.24
19,ADA,Bittrex,03-04-2018 08:30:00,2.17e-05,2.19e-05,2.168e-05,2.18e-05,1333694.8,29.02
20,ADA,Bittrex,03-04-2018 09:30:00,2.203e-05,2.23e-05,2.162e-05,2.17e-05,5554795.42,122.05
21,ADA,Bittrex,03-04-2018 10:30:00,2.183e-05,2.213e-05,2.18e-05,2.203e-05,2708769.76,59.38
22,ADA,Bittrex,03-04-2018 11:30:00,2.173e-05,2.195e-05,2.165e-05,2.183e-05,3673359.68,79.94
23,ADA,Bittrex,03-04-2018 12:30:00,2.192e-05,2.196e-05,2.163e-05,2.173e-05,3551588.08,77.31
24,ADT,Bittrex,03-04-2018 07:30:00,3.97e-06,4.16e-06,3.75e-06,3.8e-06,4553161.87,18.27
25,ADT,Bittrex,03-04-2018 08:30:00,3.84e-06,4.13e-06,3.83e-06,3.97e-06,2227513.4,8.87
26,ADT,Bittrex,03-04-2018 09:30:00,3.81e-06,4e-06,3.8e-06,3.84e-06,1938323.5,7.57
27,ADT,Bittrex,03-04-2018 10:30:00,3.9e-06,4.01e-06,3.81e-06,3.81e-06,571816.93,2.25
28,ADT,Bittrex,03-04-2018 11:30:00,3.87e-06,3.99e-06,3.8e-06,3.9e-06,1556360.56,5.97
29,ADT,Bittrex,03-04-2018 12:30:00,3.86e-06,3.91e-06,3.81e-06,3.87e-06,645993.56,2.48
30,ADX,Binance,03-04-2018 07:30:00,8.302e-05,8.363e-05,8.259e-05,8.259e-05,12417.0,1.03
31,ADX,Binance,03-04-2018 08:30:00,8.26e-05,8.382e-05,8.26e-05,8.302e-05,16918.0,1.4
32,ADX,Binance,03-04-2018 09:30:00,8.261e-05,8.306e-05,8.237e-05,8.26e-05,23875.0,1.98
33,ADX,Binance,03-04-2018 10:30:00,8.555e-05,8.682e-05,8.235e-05,8.261e-05,120889.0,10.34
34,ADX,Binance,03-04-2018 11:30:00,8.628e-05,8.694e-05,8.548e-05,8.555e-05,26580.0,2.3
35,ADX,Binance,03-04-2018 12:30:00,8.61e-05,8.669e-05,8.562e-05,8.628e-05,24781.0,2.13
36,ADX,Bittrex,03-04-2018 07:30:00,8.36e-05,8.36e-05,8.237e-05,8.272e-05,5083.23,0.4225
37,ADX,Bittrex,03-04-2018 08:30:00,8.285e-05,8.363e-05,8.261e-05,8.36e-05,9521.21,0.788
38,ADX,Bittrex,03-04-2018 09:30:00,8.393e-05,8.393e-05,8.18e-05,8.285e-05,26289.63,2.18
39,ADX,Bittrex,03-04-2018 10:30:00,8.551e-05,8.7e-05,8.184e-05,8.393e-05,115104.9,9.82
40,ADX,Bittrex,03-04-2018 11:30:00,8.618e-05,8.7e-05,8.551e-05,8.551e-05,19860.08,1.72
