coin,exchange,unix_timestamp,time,open,high,low,close,volumeto,volumefrom,BBANDS_BANDWIDTH_PERCENT,MONEY_FLOW_INDEX,STOCH_PERCENT_K_MONEY_FLOW_INDEX,STOCH_PERCENT_D_MONEY_FLOW_INDEX,RSI,RSI_OVER_BOUGHT,RSI_OVER_SOLD,STOCHRSI_K,STOCHRSI_D,STOCH_PERCENT_K,STOCH_PERCENT_D,STOCH_OVER_BOUGHT,STOCH_OVER_SOLD,SMA_FAST,SMA_SLOW,SMA_TEST,MACD,MACD_SIGNAL,MACD_TEST,ON_BALANCE_VOLUME,ON_BALANCE_VOLUME_TEST
PXI,Cryptopia,1495756800.0,26-05-2017 05:30:00,7.3e-07,1.06e-06,7.3e-07,7.9e-07,0.1082,103743.57,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,1.0,0.0
PXI,Cryptopia,1496966400.0,09-06-2017 05:30:00,7.9e-07,2.5e-06,6.5e-07,1.18e-06,1.276446,1081993.99,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,2.276446,1.0
PXI,Cryptopia,1498176000.0,23-06-2017 05:30:00,1.18e-06,1.8000000000000001e-06,9.000000000000001e-07,9.8e-07,0.8184640000000001,671349.62,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,1.457982,0.0
PXI,Cryptopia,1499385600.0,07-07-2017 05:30:00,9.8e-07,2.5e-06,5.8e-07,2.04e-06,1.464137,1060634.7200000002,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,2.922119,1.0
PXI,Cryptopia,1500595200.0,21-07-2017 05:30:00,2.04e-06,5.03e-06,1.75e-06,3.68e-06,9.9119,2985450.82,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,12.834019,1.0
PXI,Cryptopia,1501804800.0,04-08-2017 05:30:00,3.68e-06,4.32e-06,1.36e-06,1.41e-06,2.63621,807554.5499999998,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,10.197809,0.0
PXI,Cryptopia,1503014400.0,18-08-2017 05:30:00,1.41e-06,4.7e-06,1.35e-06,2.89e-06,3.4288300000000005,1078865.27,,,,,,0.0,0.0,,,,,0.0,0.0,1.8528571428571428e-06,,0.0,,,0.0,13.626639,1.0
PXI,Cryptopia,1504224000.0,01-09-2017 05:30:00,2.89e-06,2.91e-06,1.35e-06,1.8000000000000001e-06,0.8318000000000001,400511.08,,,,,,0.0,0.0,,,,,0.0,0.0,1.997142857142857e-06,,0.0,,,0.0,12.794839000000001,0.0
PXI,Cryptopia,1505433600.0,15-09-2017 05:30:00,1.46e-06,1.79e-06,1.09e-06,1.51e-06,0.2482536,180016.05,,,,,,0.0,0.0,,,,,0.0,0.0,2.0442857142857145e-06,,0.0,,,0.0,12.546585400000001,0.0
PXI,Cryptopia,1506643200.0,29-09-2017 05:30:00,1.51e-06,2.1000000000000002e-06,1.12e-06,1.52e-06,0.4416580000000001,308685.73000000004,,,,,,0.0,0.0,,,,,0.0,0.0,2.1214285714285713e-06,,0.0,,,0.0,12.988243400000002,1.0
PXI,Cryptopia,1507852800.0,13-10-2017 05:30:00,1.52e-06,2e-06,1e-06,1e-06,1.059442,781563.37,,,,,,0.0,0.0,,,,,0.0,0.0,1.972857142857143e-06,,0.0,,,0.0,11.928801400000001,0.0
PXI,Cryptopia,1509062400.0,27-10-2017 05:30:00,1e-06,1.01e-06,3.9e-07,5.3e-07,0.2541183,370300.83,,,,,,0.0,0.0,,,,,0.0,0.0,1.522857142857143e-06,,0.0,,,0.0,11.674683100000001,0.0
PXI,Cryptopia,1510272000.0,10-11-2017 05:30:00,5.3e-07,1.4e-06,3.9e-07,4.9e-07,0.361379,591283.39,,,,,,0.0,0.0,,,,,0.0,0.0,1.3914285714285717e-06,,0.0,,,0.0,11.313304100000002,0.0
PXI,Cryptopia,1511481600.0,24-11-2017 05:30:00,4.9e-07,8.4e-07,4.8e-07,5.3e-07,0.21844300000000005,330483.46,,,,,,0.0,0.0,,,0.0,,0.0,0.0,1.0542857142857147e-06,,0.0,,,0.0,11.531747100000002,1.0
PXI,Cryptopia,1512691200.0,08-12-2017 05:30:00,5.3e-07,1.14e-06,3.8e-07,4.8e-07,0.583756,928111.76,,17.14418374791201,,,48.37696335078533,0.0,0.0,,,7.1599045346062065,,0.0,1.0,8.65714285714286e-07,,0.0,,,0.0,10.947991100000003,0.0
PXI,Cryptopia,1513900800.0,22-12-2017 05:30:00,4.8e-07,1e-06,4.8e-07,7e-07,0.576521,698134.7000000001,,17.543332535833585,,,49.626660378841464,0.0,0.0,,,3.818615751789974,3.6595067621320605,0.0,0.0,7.500000000000003e-07,,0.0,,,0.0,11.524512100000003,1.0
PXI,Cryptopia,1515110400.0,05-01-2018 05:30:00,7e-07,5.82e-06,7e-07,2.55e-06,7.782210000000001,2891678.58,,18.656908775260007,,,58.68421444121016,0.0,0.0,,,100.0,36.99284009546539,0.0,0.0,8.971428571428575e-07,,0.0,,,0.0,19.3067221,1.0
PXI,Cryptopia,1516320000.0,19-01-2018 05:30:00,2.55e-06,6.5000000000000004e-06,1.85e-06,2.25e-06,11.1076,2904136.9900000007,,40.84658073742334,,,56.897570053778125,0.0,0.0,,,100.0,67.93953858393,1.0,0.0,1.0757142857142861e-06,,0.0,,,0.0,8.199122100000002,0.0
PXI,Cryptopia,1517529600.0,02-02-2018 05:30:00,2.25e-06,3.65e-06,2.11e-06,2.21e-06,4.354209999999999,1621473.66,,26.172197597823896,,,56.64991936510661,0.0,0.0,,,49.64664310954064,83.2155477031802,0.0,0.0,1.315714285714286e-06,,0.0,,,0.0,3.844912100000003,0.0
PXI,Cryptopia,1518739200.0,16-02-2018 05:30:00,2.21e-06,4.53e-06,2.11e-06,2.32e-06,3.82875,1257986.61,72.00264927221389,44.42810576613888,,,57.201603752101335,0.0,0.0,,,65.19434628975264,71.61366313309776,0.0,0.0,1.5771428571428572e-06,,0.0,,,0.0,7.673662100000003,1.0
PXI,Cryptopia,1519948800.0,02-03-2018 05:30:00,2.32e-06,4e-06,1.72e-06,1.72e-06,1.8420300000000005,726058.04,53.766018750093515,36.01419372478488,,,53.22289178761391,0.0,0.0,,,55.830388692579504,56.890459363957596,0.0,0.0,1.7471428571428573e-06,1.5514285714285712e-06,1.0,,,0.0,5.831632100000003,0.0
PXI,Cryptopia,1521158400.0,16-03-2018 05:30:00,1.72e-06,1.95e-06,1e-06,1.05e-06,1.27613,955272.03,34.68088197335678,38.13628792514513,,,49.114671053984125,0.0,0.0,,,19.6113074204947,46.878680800942284,0.0,0.0,1.8285714285714288e-06,1.5638095238095237e-06,1.0,,,0.0,4.555502100000003,0.0
PXI,Cryptopia,1522368000.0,30-03-2018 05:30:00,1.05e-06,1.25e-06,7.7e-07,1e-06,0.5544899999999999,542998.47,33.2018930831631,38.12782948318587,,,48.81186774734597,0.0,0.0,,,7.243816254416963,27.561837455830386,0.0,0.0,1.8714285714285718e-06,1.555238095238095e-06,1.0,,,0.0,4.001012100000002,0.0
PXI,Cryptopia,1523577600.0,13-04-2018 05:30:00,1e-06,1.28e-06,9.1e-07,1.07e-06,0.38585,380599.98,36.61449455684135,38.25332146388149,,,49.28329332006336,0.0,0.0,,,7.773851590106007,11.542991755005891,0.0,1.0,1.6600000000000004e-06,1.5595238095238093e-06,1.0,,,0.0,4.386862100000002,1.0
PXI,Cryptopia,1524787200.0,27-04-2018 05:30:00,1.07e-06,1.64e-06,9.7e-07,9.7e-07,0.8925200000000001,780560.73,35.14320144547335,38.802104746778205,,,48.59476785204026,0.0,0.0,,,14.13427561837456,9.717314487632509,0.0,1.0,1.4771428571428576e-06,1.5085714285714283e-06,0.0,,,0.0,3.4943421000000017,0.0
PXI,Cryptopia,1525996800.0,11-05-2018 05:30:00,9.7e-07,1.6e-06,9.7e-07,1.17e-06,1.109651,860603.62,42.48583870620234,40.05894166927164,,,50.0964110285239,0.0,0.0,,,13.427561837455828,11.77856301531213,0.0,0.0,1.328571428571429e-06,1.389047619047619e-06,0.0,,,0.0,4.603993100000002,1.0
PXI,Cryptopia,1527206400.0,25-05-2018 05:30:00,1.17e-06,1.45e-06,9.2e-07,9.8e-07,1.0728799999999998,993266.56,37.8353457495571,39.38446922303601,,,48.64267627727287,0.0,0.0,,,10.777385159010603,12.779740871613663,0.0,0.0,1.1371428571428574e-06,1.3685714285714286e-06,0.0,,,0.0,3.5311131000000024,0.0
PXI,Cryptopia,1528416000.0,08-06-2018 05:30:00,9.8e-07,1.2e-06,8.3e-07,9.4e-07,0.322574,339688.21,37.82582114024517,39.01190490884702,80.14874528055903,,48.32474067361671,0.0,0.0,0.0,,3.6363636363636354,9.280436877610024,0.0,0.0,1.025714285714286e-06,1.2757142857142857e-06,0.0,,,0.0,3.2085391000000025,0.0
BENJI,Cryptopia,1495756800.0,26-05-2017 05:30:00,2.4e-07,2.4e-07,1.5e-07,2.3e-07,0.08429,429467.92,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,1.0,0.0
BENJI,Cryptopia,1496966400.0,09-06-2017 05:30:00,2.3e-07,5e-07,1.4e-07,3.4e-07,15.677400000000002,70472889.69999999,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,16.677400000000002,1.0
BENJI,Cryptopia,1498176000.0,23-06-2017 05:30:00,3.4e-07,5e-07,1.9e-07,2.8e-07,1.853065,6021791.24,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,14.824335000000001,0.0
BENJI,Cryptopia,1499385600.0,07-07-2017 05:30:00,2.8e-07,3.1e-07,6e-08,2e-07,0.37751599999999996,2166420.09,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,14.446819000000001,0.0
BENJI,Cryptopia,1500595200.0,21-07-2017 05:30:00,2e-07,2.49e-06,1.8e-07,6e-07,5.016591999999998,6404656.9,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,19.463411,1.0
BENJI,Cryptopia,1501804800.0,04-08-2017 05:30:00,6e-07,2.8999999999999998e-06,3.2e-07,4.8e-07,6.781289999999998,5790150.130000001,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,0.0,12.682121000000002,0.0
BENJI,Cryptopia,1503014400.0,18-08-2017 05:30:00,4.8e-07,7.1e-07,1.7e-07,3.5e-07,1.149641,3220329.42,,,,,,0.0,0.0,,,,,0.0,0.0,3.5428571428571427e-07,,0.0,,,0.0,11.532480000000003,0.0
BENJI,Cryptopia,1504224000.0,01-09-2017 05:30:00,3.5e-07,7e-07,3.2e-07,4.2e-07,0.5254460999999999,1145310.33,,,,,,0.0,0.0,,,,,0.0,0.0,3.814285714285714e-07,,0.0,,,0.0,12.057926100000003,1.0
BENJI,Cryptopia,1505433600.0,15-09-2017 05:30:00,3.8e-07,4e-07,3e-07,3.1e-07,0.31731399999999993,879119.5299999998,,,,,,0.0,0.0,,,,,0.0,0.0,3.771428571428571e-07,,0.0,,,0.0,11.740612100000003,0.0
BENJI,Cryptopia,1506643200.0,29-09-2017 05:30:00,3.1e-07,7.7e-07,2.2e-07,5e-07,0.8428200000000001,1784997.84,,,,,,0.0,0.0,,,,,0.0,0.0,4.0857142857142855e-07,,0.0,,,0.0,12.583432100000003,1.0
BENJI,Cryptopia,1507852800.0,13-10-2017 05:30:00,5e-07,5.8e-07,3.2e-07,3.4e-07,0.3102404,750124.86,,,,,,0.0,0.0,,,,,0.0,0.0,4.2857142857142857e-07,,0.0,,,0.0,12.273191700000003,0.0
BENJI,Cryptopia,1509062400.0,27-10-2017 05:30:00,3.4e-07,3.4e-07,1.2e-07,2.8e-07,0.1382316,649071.8,,,,,,0.0,0.0,,,,,0.0,0.0,3.828571428571428e-07,,0.0,,,0.0,12.134960100000004,0.0
BENJI,Cryptopia,1510272000.0,10-11-2017 05:30:00,2.8e-07,2.9e-07,1.5e-07,1.8e-07,0.15244470000000002,707310.18,,,,,,0.0,0.0,,,,,0.0,0.0,3.4e-07,,0.0,,,0.0,11.982515400000004,0.0
BENJI,Cryptopia,1511481600.0,24-11-2017 05:30:00,1.8e-07,2.8e-07,1.5e-07,1.8e-07,0.3033556000000001,1452994.0099999998,,,,,,0.0,0.0,,,1.503759398496242,,0.0,0.0,3.1571428571428567e-07,,0.0,,,0.0,11.982515400000004,0.0
BENJI,Cryptopia,1512691200.0,08-12-2017 05:30:00,1.8e-07,2.7e-07,1.3e-07,2e-07,0.299634,1568085.6800000004,,29.014844292948595,,,49.06832298136646,0.0,0.0,,,0.0,,0.0,0.0,2.8428571428571425e-07,,0.0,,,0.0,12.282149400000003,1.0
BENJI,Cryptopia,1513900800.0,22-12-2017 05:30:00,2e-07,2.5e-07,1.6e-07,2e-07,0.1238535,567071.46,,29.15725111344402,,,49.068322981366464,0.0,0.0,,,0.0,0.5012531328320807,0.0,1.0,2.685714285714285e-07,,0.0,,,0.0,12.282149400000003,0.0
BENJI,Cryptopia,1515110400.0,05-01-2018 05:30:00,2e-07,7.9e-07,1.2e-07,6.1e-07,1.27747,3184261.2,,38.54731361462206,,,60.68094765214924,0.0,0.0,,,20.377358490566035,6.792452830188679,0.0,1.0,2.8428571428571425e-07,,0.0,,,0.0,13.559619400000003,1.0
BENJI,Cryptopia,1516320000.0,19-01-2018 05:30:00,6.1e-07,1.99e-06,5.7e-07,1.31e-06,6.17925,5004494.59,,42.44261531826715,,,72.29529499511737,0.0,0.0,,,65.66037735849058,28.679245283018872,0.0,0.0,4.228571428571428e-07,,0.0,,,0.0,19.738869400000002,1.0
BENJI,Cryptopia,1517529600.0,02-02-2018 05:30:00,1.31e-06,2.98e-06,4.5e-07,7.2e-07,9.72637,7616479.22,,61.35604676450004,,,57.009787976461546,0.0,0.0,,,100.0,62.01257861635221,0.0,0.0,4.857142857142856e-07,,0.0,,,0.0,10.012499400000003,0.0
BENJI,Cryptopia,1518739200.0,16-02-2018 05:30:00,7.2e-07,1.6e-06,5e-07,6.6e-07,8.028260000000001,9201285.409999998,72.85861438878433,28.981540135447162,,,55.71957463299847,0.0,0.0,,,49.45054945054946,71.70364226968,0.0,0.0,5.542857142857143e-07,,0.0,,,0.0,1.9842394000000017,0.0
BENJI,Cryptopia,1519948800.0,02-03-2018 05:30:00,6.6e-07,7.2e-07,4.7e-07,5.4e-07,0.6992432,1200895.62,60.075680474120574,29.89403939876574,,,53.129782994561346,0.0,0.0,,,17.21611721611722,55.555555555555564,0.0,0.0,6.057142857142858e-07,4.252380952380953e-07,1.0,,,0.0,1.2849962000000017,0.0
BENJI,Cryptopia,1521158400.0,16-03-2018 05:30:00,5.4e-07,6e-07,4.8e-07,4.8e-07,0.2090251,382546.08,53.65720193190305,28.438336927532646,,,51.83256075636318,0.0,0.0,,,12.820512820512823,26.4957264957265,0.0,0.0,6.457142857142857e-07,4.3714285714285724e-07,1.0,,,0.0,1.0759711000000016,0.0
BENJI,Cryptopia,1522368000.0,30-03-2018 05:30:00,4.8e-07,6.5e-07,3.7e-07,4.2e-07,0.4095004,820227.92,47.180908354980374,28.570693000767633,,,50.50457997459097,0.0,0.0,,,14.652014652014655,14.8962148962149,0.0,1.0,6.771428571428572e-07,4.40952380952381e-07,1.0,,,0.0,0.6664707000000016,0.0
BENJI,Cryptopia,1523577600.0,13-04-2018 05:30:00,4.2e-07,5.7e-07,3.7e-07,4.7e-07,0.2177387,495871.59,50.747737776628576,28.14237526034094,,,51.61704145757854,0.0,0.0,,,11.721611721611726,13.064713064713068,0.0,0.0,6.571428571428571e-07,4.5000000000000003e-07,1.0,,,0.0,0.8842094000000016,1.0
BENJI,Cryptopia,1524787200.0,27-04-2018 05:30:00,4.7e-07,5.7e-07,4.2e-07,4.9e-07,0.13053399999999998,271314.33,53.314857337637086,28.767453921372237,,,52.08099282095569,0.0,0.0,,,11.721611721611726,12.698412698412701,0.0,1.0,5.4e-07,4.638095238095239e-07,1.0,,,0.0,1.0147434000000015,1.0
BENJI,Cryptopia,1525996800.0,11-05-2018 05:30:00,4.9e-07,5.2e-07,4.2e-07,4.2e-07,0.17172000000000004,375411.31,46.585601854900574,28.827571203047285,,,50.26425599211877,0.0,0.0,,,9.89010989010989,11.111111111111114,0.0,0.0,4.971428571428571e-07,4.552380952380953e-07,1.0,,,0.0,0.8430234000000014,0.0
BENJI,Cryptopia,1527206400.0,25-05-2018 05:30:00,4.2e-07,6.5e-07,4e-07,4.3e-07,0.4506124,904777.56,47.176087526375476,29.04082111140275,,,50.52974318404673,0.0,0.0,,,14.652014652014655,12.08791208791209,0.0,1.0,4.6428571428571427e-07,4.5285714285714287e-07,1.0,,,0.0,1.2936358000000014,1.0
