,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
0,2161.54693108,0.020750850538367997,9.6e-06,EVR,Cryptopia,1527571551660
1,1461.64383561,0.014046397260212099,9.61e-06,EVR,Cryptopia,1527571551660
2,3429.60286673,0.0335072200079521,9.77e-06,EVR,Cryptopia,1527571551660
3,2965.09506322,0.029057931619556,9.8e-06,EVR,Cryptopia,1527571551660
4,18405.87223812,0.18056160665595716,9.81e-06,EVR,Cryptopia,1527571551660
5,50.76008146,0.0005010020040102,9.87e-06,EVR,Cryptopia,1527571551660
6,204.61214178,0.0020338446892932,9.94e-06,EVR,Cryptopia,1527571551660
7,861.51935145,0.0085721175469275,9.95e-06,EVR,Cryptopia,1527571551660
8,60826.164575,0.61373600056175,1.009e-05,EVR,Cryptopia,1527571551660
9,2354.03446619,0.023775748108519,1.01e-05,EVR,Cryptopia,1527571551660
10,5000.0,0.05135,1.027e-05,EVR,Cryptopia,1527571551660
11,4845.99322628,0.049816810366158405,1.028e-05,EVR,Cryptopia,1527571551660
12,4000.0,0.04116,1.029e-05,EVR,Cryptopia,1527571551660
13,2301.5633156,0.02370610215068,1.03e-05,EVR,Cryptopia,1527571551660
14,3143.9414135,0.032414035973185,1.031e-05,EVR,Cryptopia,1527571551660
15,143.87769539,0.0014862565933787,1.033e-05,EVR,Cryptopia,1527571551660
16,763.43162516,0.007901517320405999,1.035e-05,EVR,Cryptopia,1527571551660
17,763.43162516,0.0079244202691608,1.038e-05,EVR,Cryptopia,1527571551660
18,763.43162516,0.0079320545854124,1.039e-05,EVR,Cryptopia,1527571551660
19,763.43162516,0.0079549575341672,1.042e-05,EVR,Cryptopia,1527571551660
20,763.43162516,0.0079625918504188,1.043e-05,EVR,Cryptopia,1527571551660
21,763.43162516,0.0079854947991736,1.046e-05,EVR,Cryptopia,1527571551660
22,100.99910969,0.0010594806606480998,1.049e-05,EVR,Cryptopia,1527571551660
23,2081.56892347,0.021856473696434998,1.05e-05,EVR,Cryptopia,1527571551660
24,2749.46826123,0.028896911425527295,1.051e-05,EVR,Cryptopia,1527571551660
25,500.0,0.00527,1.054e-05,EVR,Cryptopia,1527571551660
26,6402.77324001,0.0676132854145056,1.056e-05,EVR,Cryptopia,1527571551660
27,75.79012829,0.0008026174585911,1.059e-05,EVR,Cryptopia,1527571551660
28,2097.75883876,0.022341131632793998,1.065e-05,EVR,Cryptopia,1527571551660
29,15658.37901661,0.1670749041072287,1.067e-05,EVR,Cryptopia,1527571551660
30,117.1792691,0.0012538181793699998,1.07e-05,EVR,Cryptopia,1527571551660
31,3085.70873999,0.0331405118674926,1.074e-05,EVR,Cryptopia,1527571551660
32,3284.41423922,0.035471673783576,1.08e-05,EVR,Cryptopia,1527571551660
33,49.0,0.00053116,1.084e-05,EVR,Cryptopia,1527571551660
34,10169.8847067,0.110343249067695,1.085e-05,EVR,Cryptopia,1527571551660
35,200.0,0.0021739999999999997,1.087e-05,EVR,Cryptopia,1527571551660
36,2200.26685091,0.023982908674919,1.09e-05,EVR,Cryptopia,1527571551660
37,700.0,0.007651000000000001,1.093e-05,EVR,Cryptopia,1527571551660
38,500.0,0.00547,1.094e-05,EVR,Cryptopia,1527571551660
39,11270.07493666,0.12340732055642699,1.095e-05,EVR,Cryptopia,1527571551660
40,216.72829413,0.0023775093866061,1.097e-05,EVR,Cryptopia,1527571551660
41,6102.73921088,0.06700807653546241,1.098e-05,EVR,Cryptopia,1527571551660
42,25420.86636306,0.2793753213300294,1.099e-05,EVR,Cryptopia,1527571551660
43,17019.35609899,0.18721291708888999,1.1e-05,EVR,Cryptopia,1527571551660
44,120.0,0.0013212,1.101e-05,EVR,Cryptopia,1527571551660
45,91.72830809,0.0010117632382327,1.103e-05,EVR,Cryptopia,1527571551660
46,1126.8777725,0.01250834327475,1.11e-05,EVR,Cryptopia,1527571551660
47,1098.23582707,0.012234347113559798,1.114e-05,EVR,Cryptopia,1527571551660
48,1203.45288621,0.013418499681241501,1.115e-05,EVR,Cryptopia,1527571551660
49,3000.0,0.03354,1.118e-05,EVR,Cryptopia,1527571551660
50,137.36263736,0.001538461538432,1.12e-05,EVR,Cryptopia,1527571551660
