,can_occur_before,categories,coins,created_date,date_event,description,id,is_hot,percentage,positive_vote_count,proof,source,tip_adress,tip_symbol,title,twitter_account,vote_count
0,False,"[{'id': 5, 'name': 'Conference'}]","[{'id': 'power-ledger', 'name': 'Power Ledger', 'symbol': 'POWR'}]",2017-12-20T17:20:05+00:00,2018-04-10T00:00:00+01:00,"""Dr. Jemma Green will be speaking at the Inspiring Leaders' Summit on 'How do you manage disruption'?""",3200,True,96,398,https://coinmarketcal.com/images/proof/e99393cd441635d32a344e7ec05b0d08.jpeg,https://docs.google.com/spreadsheets/d/19W4M7QXkydQ5aeLpMdwc9ZsC_FAYJGirg9PmuTSejDA/edit?ct=t%28Aimie_s_Template12_15_2017%29#gid=0,1L3UUxPks4Qth1y8bgYTAoks3359necj8K,BTC,Inspiring Leaders Summit,,416
1,False,"[{'id': 6, 'name': 'Community Event'}]","[{'id': 'solarcoin', 'name': 'SolarCoin', 'symbol': 'SLR'}]",2018-03-23T15:56:51+00:00,2018-04-10T00:00:00+01:00,In this webinar you get to understand the first steps that blockchain and solar technology are taking together.,10490,True,95,270,https://coinmarketcal.com/images/proof/7a6e4b5d77f4b694098a021739050c07.png,http://atainsights.com/innovation-series-focusing-on-how-blockchain-and-solar-are-coming-together/,,,Webinar,,283
2,False,"[{'id': 1, 'name': 'Release'}]","[{'id': 'komodo', 'name': 'Komodo', 'symbol': 'KMD'}]",2018-02-15T06:39:04+00:00,2018-04-10T00:00:00+01:00,Utrum.io launches their decentralized ICO on the Komodo platform.,8562,True,86,147,https://coinmarketcal.com/images/proof/7bcec7e4d71328e69be550fa99d3d0ad.png,https://utrum.io/tokensale/,1NHfoBtZ6G7aLY7xHrLbvcNFF1fFgw7qux,BTC,Utrum.io dICO Token Sale,,171
3,False,"[{'id': 6, 'name': 'Community Event'}]","[{'id': 'stellar', 'name': 'Stellar', 'symbol': 'XLM'}]",2018-03-30T15:45:33+01:00,2018-04-10T00:00:00+01:00,"""Join us on Tues April 10th for our latest Stellar SF [San Francisco] meetup.""",10883,False,87,95,https://coinmarketcal.com/images/proof/2fdc84eb1791ae0b4df8e80c54230852.png,https://secure.meetup.com/fr-FR/register/?ctx=ref,0x3f3C595D18d3B3e8C62B2D0d4ac9F9B98C8BBFc0,ETH,San Francisco Meetup,,109
4,False,"[{'id': 5, 'name': 'Conference'}]","[{'id': 'skycoin', 'name': 'Skycoin', 'symbol': 'SKY'}]",2018-03-29T20:47:39+01:00,2018-04-10T00:00:00+01:00,"""The Skycoin team is pleased to announce that we will be hosting a special event in Shanghai, China on Tuesday, April 10th.""",10847,False,97,66,https://coinmarketcal.com/images/proof/49f11477c424abd25307fb9e49f0413f.png,https://www.skycoin.net/blog/statement/shanghai-event-announcement/,0xe8525D2dd86Af6869519240A3Cfef86238468135,ETH,Ecosystem Launch Conf.,,68
5,True,"[{'id': 8, 'name': 'Airdrop'}]","[{'id': 'komodo', 'name': 'Komodo', 'symbol': 'KMD'}]",2018-03-22T20:19:26+00:00,2018-04-10T00:00:00+01:00,"Komodo Platform’s first decentralized ICO, BlocNATION is hosting an airdrop for all KMD holders.",10463,False,84,77,https://coinmarketcal.com/images/proof/e59812e3bb7faa17235346beb3314bcc.png,https://komodoplatform.com/blocnation-airdrop-two-million-token-giveaway/,,,BlocNATION Airdrop,,92
6,False,"[{'id': 1, 'name': 'Release'}]","[{'id': 'block-array', 'name': 'Block Array', 'symbol': 'ARY'}]",2018-04-01T15:55:46+01:00,2018-04-10T00:00:00+01:00,Freightrelay.com - Web Portal Beta on April 10th.,10933,False,91,39,https://coinmarketcal.com/images/proof/3cb12ff0d9f4646a5ff00c3c44bcea7f.png,https://medium.com/blockarray/block-array-masternode-roadmap-details-3d28e1130b60,38oEWFzkC6T5qWAVsnsDhrdMQbK7xxhg1F,BTC,Web Portal Beta,@_cryptoevents_,43
7,False,"[{'id': 5, 'name': 'Conference'}]","[{'id': 'publica', 'name': 'Publica', 'symbol': 'PBL'}]",2018-02-02T16:11:14+00:00,2018-04-10T00:00:00+01:00,Publica is going to participate in the London Book Fair 2018. Meet Publica Team in London at LBF on April 10-12!,7966,False,90,38,https://coinmarketcal.com/images/proof/95df01a476cf39c579597b336a6db6f5.png,https://twitter.com/PublicaIO/status/959366284738691072,,,Publica At LBF 2018,@PublicaIO,42
8,False,"[{'id': 8, 'name': 'Airdrop'}, {'id': 10, 'name': 'Announcement/News'}]","[{'id': 'trueflip', 'name': 'TrueFlip', 'symbol': 'TFL'}]",2018-04-03T17:08:31+01:00,2018-04-10T00:00:00+01:00,"""The draw will take place at 18:00 UTC, April 10...Prize fund amounts to 16 BTC - to be distributed among TFL holders.""",10997,False,81,22,https://coinmarketcal.com/images/proof/4cccc4508f3491efe1bd2a03a0ded036.png,https://steemit.com/crypto-news/@trueflip/tfl-holders-special-game-april-10-2018,,,Master Flip,@TrueFlipLoto,27
9,False,"[{'id': 5, 'name': 'Conference'}]","[{'id': 'airswap', 'name': 'AirSwap', 'symbol': 'AST'}]",2018-03-13T22:15:04+00:00,2018-04-10T00:00:00+01:00,"Maggie Hsu, head of Business Development and Partnerships for AirSwap,  speaks at Blockfin.",10051,False,77,17,https://coinmarketcal.com/images/proof/238dd270b6138addbf0b57f7dc20c0f3.png,http://blockfinsummit.com,,,Speaks at BlockFin,@airswap,22
