,Close,High,Low,Open,Time,Volume,Symbol,Exchange
0,3.8e-07,5.9e-07,6e-08,1e-07,2016-05-16 05:30:00,14.052276749708586,2GIVE/BTC,Bittrex
1,8.2e-07,2.3e-06,4e-07,4e-07,2016-05-17 05:30:00,57.26945070107871,2GIVE/BTC,Bittrex
2,6e-07,1.02e-06,5e-07,8.3e-07,2016-05-18 05:30:00,19.01660530843561,2GIVE/BTC,Bittrex
3,4.5e-07,6.3e-07,4e-07,5.6e-07,2016-05-19 05:30:00,2.1957122865318794,2GIVE/BTC,Bittrex
4,5.1e-07,6.2e-07,4.1e-07,4.6e-07,2016-05-20 05:30:00,1.729858049633833,2GIVE/BTC,Bittrex
5,5.3e-07,6e-07,4.2e-07,4.9e-07,2016-05-21 05:30:00,1.7541415034006673,2GIVE/BTC,Bittrex
6,5.9e-07,5.9e-07,4.9e-07,5.3e-07,2016-05-22 05:30:00,0.9334602732237259,2GIVE/BTC,Bittrex
7,4.4e-07,5.6e-07,4.2e-07,5.6e-07,2016-05-23 05:30:00,1.2749467158165628,2GIVE/BTC,Bittrex
8,4.3e-07,5.3e-07,4e-07,4.4e-07,2016-05-24 05:30:00,0.8196494371564389,2GIVE/BTC,Bittrex
9,3.7e-07,4.4e-07,2.6e-07,4.2e-07,2016-05-25 05:30:00,1.0751433036545481,2GIVE/BTC,Bittrex
10,2.6e-07,3.5e-07,2.4e-07,3.5e-07,2016-05-26 05:30:00,0.30493158030754897,2GIVE/BTC,Bittrex
11,2.4e-07,3.3e-07,2.1e-07,2.7e-07,2016-05-27 05:30:00,0.36192952958243996,2GIVE/BTC,Bittrex
12,1.8e-07,2.4e-07,1.6e-07,2.4e-07,2016-05-28 05:30:00,0.5756070721340124,2GIVE/BTC,Bittrex
13,2.5e-07,2.8e-07,1.7e-07,1.8e-07,2016-05-29 05:30:00,0.28837912792521997,2GIVE/BTC,Bittrex
14,2.9e-07,3.4e-07,2.3e-07,2.5e-07,2016-05-30 05:30:00,0.4913244742001576,2GIVE/BTC,Bittrex
15,3.7e-07,3.7e-07,2.9e-07,2.9e-07,2016-05-31 05:30:00,0.6598042423454918,2GIVE/BTC,Bittrex
16,5.4e-07,8.4e-07,3.6e-07,3.7e-07,2016-06-01 05:30:00,7.697355824986658,2GIVE/BTC,Bittrex
17,4.9e-07,6e-07,4.1e-07,5.4e-07,2016-06-02 05:30:00,0.7121344756725955,2GIVE/BTC,Bittrex
18,5e-07,5.6e-07,4.7e-07,4.9e-07,2016-06-03 05:30:00,1.1522261994072398,2GIVE/BTC,Bittrex
19,3.4e-07,4.7e-07,1.9e-07,4.7e-07,2016-06-04 05:30:00,3.711551322168936,2GIVE/BTC,Bittrex
20,4.1e-07,4.2e-07,3.4e-07,3.5e-07,2016-06-05 05:30:00,0.6104700587569708,2GIVE/BTC,Bittrex
21,4.1e-07,4.6e-07,3.5e-07,4.1e-07,2016-06-06 05:30:00,0.32799992473252393,2GIVE/BTC,Bittrex
22,3.9e-07,4.2e-07,3.8e-07,3.8e-07,2016-06-07 05:30:00,0.0465260741780484,2GIVE/BTC,Bittrex
23,3.5e-07,3.8e-07,3.5e-07,3.8e-07,2016-06-08 05:30:00,0.076649465375,2GIVE/BTC,Bittrex
24,3.5e-07,3.5e-07,3.2e-07,3.5e-07,2016-06-09 05:30:00,0.195274988907229,2GIVE/BTC,Bittrex
25,3.2e-07,3.4e-07,2.9e-07,3.4e-07,2016-06-10 05:30:00,0.09552315758919361,2GIVE/BTC,Bittrex
26,3e-07,3.2e-07,2.9e-07,3.2e-07,2016-06-11 05:30:00,0.046867896173994,2GIVE/BTC,Bittrex
27,2.6e-07,3e-07,2.5e-07,2.9e-07,2016-06-12 05:30:00,0.1539755495211934,2GIVE/BTC,Bittrex
28,2.5e-07,2.6e-07,2.2e-07,2.6e-07,2016-06-13 05:30:00,0.2080771037815575,2GIVE/BTC,Bittrex
29,2.5e-07,2.5e-07,2.1e-07,2.2e-07,2016-06-14 05:30:00,0.14342400969341748,2GIVE/BTC,Bittrex
30,2.4e-07,2.7e-07,2.2e-07,2.5e-07,2016-06-15 05:30:00,0.08411625192561599,2GIVE/BTC,Bittrex
31,2.3e-07,2.4e-07,1.2e-07,2.4e-07,2016-06-16 05:30:00,1.1727207986132537,2GIVE/BTC,Bittrex
32,1.6e-07,2.3e-07,1.5e-07,2.2e-07,2016-06-17 05:30:00,0.1563579844752608,2GIVE/BTC,Bittrex
33,1.8e-07,1.9e-07,1.6e-07,1.6e-07,2016-06-18 05:30:00,0.10689291399259439,2GIVE/BTC,Bittrex
34,2.6e-07,2.6e-07,1.9e-07,1.9e-07,2016-06-19 05:30:00,0.3440273300388678,2GIVE/BTC,Bittrex
35,2e-07,2.5e-07,2e-07,2.5e-07,2016-06-20 05:30:00,0.11448595236909799,2GIVE/BTC,Bittrex
36,2e-07,2.2e-07,2e-07,2e-07,2016-06-21 05:30:00,0.020333680498677998,2GIVE/BTC,Bittrex
37,2.1e-07,2.4e-07,1.7e-07,2e-07,2016-06-22 05:30:00,0.4051863882046386,2GIVE/BTC,Bittrex
38,2e-07,2.2e-07,1.9e-07,2.1e-07,2016-06-23 05:30:00,0.064818860932952,2GIVE/BTC,Bittrex
39,1.9e-07,2.4e-07,1.8e-07,2.1e-07,2016-06-24 05:30:00,0.210595994284553,2GIVE/BTC,Bittrex
40,2e-07,2.2e-07,1.9e-07,2e-07,2016-06-25 05:30:00,0.049150643322232,2GIVE/BTC,Bittrex
41,2e-07,2.2e-07,2e-07,2.2e-07,2016-06-26 05:30:00,0.14203066438738401,2GIVE/BTC,Bittrex
42,2e-07,2.2e-07,2e-07,2.1e-07,2016-06-27 05:30:00,0.26393205975,2GIVE/BTC,Bittrex
43,2.1e-07,2.3e-07,2.1e-07,2.2e-07,2016-06-28 05:30:00,0.0883484689273032,2GIVE/BTC,Bittrex
44,2.1e-07,2.2e-07,2.1e-07,2.2e-07,2016-06-29 05:30:00,0.020808971424861898,2GIVE/BTC,Bittrex
45,2.3e-07,2.3e-07,2.2e-07,2.2e-07,2016-06-30 05:30:00,0.1462799279269861,2GIVE/BTC,Bittrex
46,2.3e-07,2.3e-07,1.9e-07,2.2e-07,2016-07-01 05:30:00,0.514817956238801,2GIVE/BTC,Bittrex
47,2.2e-07,2.3e-07,2.2e-07,2.2e-07,2016-07-02 05:30:00,0.0028461065217398,2GIVE/BTC,Bittrex
48,2e-07,2.3e-07,1.9e-07,2.2e-07,2016-07-03 05:30:00,0.28357280801450196,2GIVE/BTC,Bittrex
49,2.1e-07,2.1e-07,1.8e-07,2e-07,2016-07-04 05:30:00,0.0897016958576823,2GIVE/BTC,Bittrex
50,2.3e-07,2.5e-07,2e-07,2.1e-07,2016-07-05 05:30:00,1.8178978166240987,2GIVE/BTC,Bittrex
51,2.7e-07,2.7e-07,2.2e-07,2.2e-07,2016-07-06 05:30:00,0.37894989395056144,2GIVE/BTC,Bittrex
52,2.6e-07,2.7e-07,2.5e-07,2.7e-07,2016-07-07 05:30:00,0.6656935047954099,2GIVE/BTC,Bittrex
53,3.1e-07,3.5e-07,2.5e-07,2.7e-07,2016-07-08 05:30:00,0.8841441370271769,2GIVE/BTC,Bittrex
54,3.6e-07,3.6e-07,3.1e-07,3.5e-07,2016-07-09 05:30:00,0.263442834616968,2GIVE/BTC,Bittrex
55,3.5e-07,4.1e-07,3.4e-07,3.4e-07,2016-07-10 05:30:00,0.1761919499348715,2GIVE/BTC,Bittrex
56,3.5e-07,4.4e-07,3.5e-07,3.9e-07,2016-07-11 05:30:00,1.7953924772802832,2GIVE/BTC,Bittrex
57,3.4e-07,3.9e-07,3.4e-07,3.7e-07,2016-07-12 05:30:00,0.0798199907348154,2GIVE/BTC,Bittrex
58,3.6e-07,3.9e-07,3.4e-07,3.8e-07,2016-07-13 05:30:00,0.3587814540613296,2GIVE/BTC,Bittrex
59,4e-07,4e-07,3.4e-07,3.5e-07,2016-07-14 05:30:00,0.903246244403004,2GIVE/BTC,Bittrex
60,6.5e-07,9e-07,3.9e-07,3.9e-07,2016-07-15 05:30:00,6.616548038575437,2GIVE/BTC,Bittrex
61,7.3e-07,8.9e-07,5.5e-07,6.1e-07,2016-07-16 05:30:00,2.419449601663462,2GIVE/BTC,Bittrex
62,7.6e-07,8.3e-07,5.7e-07,7.3e-07,2016-07-17 05:30:00,1.953134305234995,2GIVE/BTC,Bittrex
63,8.2e-07,8.9e-07,6.8e-07,7.2e-07,2016-07-18 05:30:00,1.0947961731286404,2GIVE/BTC,Bittrex
64,1.03e-06,1.07e-06,8e-07,8.7e-07,2016-07-19 05:30:00,3.594450613221997,2GIVE/BTC,Bittrex
65,1.19e-06,1.4e-06,9e-07,1.02e-06,2016-07-20 05:30:00,7.0785632817770505,2GIVE/BTC,Bittrex
66,1.2e-06,1.6e-06,1e-06,1.19e-06,2016-07-21 05:30:00,4.3299898736379,2GIVE/BTC,Bittrex
67,1.04e-06,1.28e-06,9.4e-07,1.16e-06,2016-07-22 05:30:00,3.1766477422444854,2GIVE/BTC,Bittrex
68,9.2e-07,1.08e-06,9e-07,1.04e-06,2016-07-23 05:30:00,1.1954110821618091,2GIVE/BTC,Bittrex
69,1.02e-06,1.2e-06,5.4e-07,9.4e-07,2016-07-24 05:30:00,2.5037102368920587,2GIVE/BTC,Bittrex
70,1e-06,1.15e-06,7.5e-07,1.05e-06,2016-07-25 05:30:00,0.7437813253652199,2GIVE/BTC,Bittrex
71,8.4e-07,1.18e-06,6.9e-07,9.8e-07,2016-07-26 05:30:00,0.7260144049764816,2GIVE/BTC,Bittrex
72,8.3e-07,1.09e-06,7.8e-07,9.1e-07,2016-07-27 05:30:00,0.16942454713063881,2GIVE/BTC,Bittrex
73,9e-07,1.09e-06,6.5e-07,7.8e-07,2016-07-28 05:30:00,1.236595741663356,2GIVE/BTC,Bittrex
74,9e-07,1.09e-06,8.1e-07,9.4e-07,2016-07-29 05:30:00,0.149067462007818,2GIVE/BTC,Bittrex
75,9e-07,1.02e-06,9e-07,1e-06,2016-07-30 05:30:00,0.10756251752717699,2GIVE/BTC,Bittrex
76,8.6e-07,1.09e-06,8.1e-07,9e-07,2016-07-31 05:30:00,0.2846318498044098,2GIVE/BTC,Bittrex
77,9.8e-07,9.8e-07,9.1e-07,9.2e-07,2016-08-01 05:30:00,0.025369401884615596,2GIVE/BTC,Bittrex
78,9.4e-07,9.4e-07,8e-07,8.8e-07,2016-08-02 05:30:00,0.21701611242691118,2GIVE/BTC,Bittrex
79,7.7e-07,9.5e-07,7.7e-07,9.4e-07,2016-08-03 05:30:00,0.13395261874687,2GIVE/BTC,Bittrex
80,8e-07,9.3e-07,7.7e-07,7.7e-07,2016-08-04 05:30:00,0.045902055135111995,2GIVE/BTC,Bittrex
81,8e-07,8e-07,7.8e-07,7.9e-07,2016-08-05 05:30:00,0.045973501577703996,2GIVE/BTC,Bittrex
82,9.7e-07,9.9e-07,7.2e-07,7.9e-07,2016-08-06 05:30:00,1.016146060060403,2GIVE/BTC,Bittrex
83,9.9e-07,1.01e-06,8.4e-07,8.9e-07,2016-08-07 05:30:00,0.7523157726581706,2GIVE/BTC,Bittrex
84,8.6e-07,9.7e-07,8.6e-07,9.6e-07,2016-08-08 05:30:00,0.045123446720091796,2GIVE/BTC,Bittrex
85,9.4e-07,9.7e-07,8.6e-07,8.6e-07,2016-08-09 05:30:00,0.2079656100183696,2GIVE/BTC,Bittrex
86,8.5e-07,9.5e-07,8.5e-07,9.5e-07,2016-08-10 05:30:00,0.122094634636027,2GIVE/BTC,Bittrex
87,8.4e-07,9e-07,8.4e-07,8.5e-07,2016-08-11 05:30:00,0.09175468196744639,2GIVE/BTC,Bittrex
88,8.5e-07,8.7e-07,8.4e-07,8.5e-07,2016-08-12 05:30:00,0.097384988738797,2GIVE/BTC,Bittrex
89,8.9e-07,9.1e-07,8.5e-07,8.8e-07,2016-08-13 05:30:00,0.1431859278901924,2GIVE/BTC,Bittrex
90,8.5e-07,8.7e-07,8.3e-07,8.7e-07,2016-08-14 05:30:00,0.3935805353028875,2GIVE/BTC,Bittrex
91,8.6e-07,8.7e-07,8.3e-07,8.7e-07,2016-08-15 05:30:00,0.170061158075001,2GIVE/BTC,Bittrex
92,8.2e-07,8.8e-07,8.2e-07,8.5e-07,2016-08-16 05:30:00,0.24496464804023238,2GIVE/BTC,Bittrex
93,8.3e-07,8.6e-07,8.3e-07,8.5e-07,2016-08-17 05:30:00,0.1087489860058804,2GIVE/BTC,Bittrex
94,8.6e-07,9.3e-07,8.2e-07,8.3e-07,2016-08-18 05:30:00,0.3964468869154178,2GIVE/BTC,Bittrex
95,8.4e-07,8.4e-07,8.4e-07,8.4e-07,2016-08-19 05:30:00,0.0038153556,2GIVE/BTC,Bittrex
96,8.3e-07,8.5e-07,8.3e-07,8.5e-07,2016-08-20 05:30:00,0.2166072574834412,2GIVE/BTC,Bittrex
97,8.5e-07,8.8e-07,8.3e-07,8.3e-07,2016-08-21 05:30:00,0.186506196091267,2GIVE/BTC,Bittrex
98,8.5e-07,9e-07,8e-07,8.6e-07,2016-08-22 05:30:00,0.8918274233765191,2GIVE/BTC,Bittrex
99,7.6e-07,8.5e-07,7.6e-07,8.2e-07,2016-08-23 05:30:00,0.3764833659103276,2GIVE/BTC,Bittrex
100,7.5e-07,7.6e-07,7.5e-07,7.6e-07,2016-08-24 05:30:00,0.060674782491135,2GIVE/BTC,Bittrex
101,7.5e-07,7.6e-07,7.5e-07,7.5e-07,2016-08-25 05:30:00,0.07395958806675,2GIVE/BTC,Bittrex
102,7.3e-07,7.5e-07,7.3e-07,7.5e-07,2016-08-26 05:30:00,0.0199947004162095,2GIVE/BTC,Bittrex
103,6.7e-07,7.4e-07,6.7e-07,7.4e-07,2016-08-27 05:30:00,0.1114850682422204,2GIVE/BTC,Bittrex
104,6.9e-07,7e-07,6.6e-07,6.7e-07,2016-08-28 05:30:00,0.0170065567575057,2GIVE/BTC,Bittrex
105,7e-07,7e-07,6.4e-07,6.6e-07,2016-08-29 05:30:00,0.23035680688830598,2GIVE/BTC,Bittrex
106,6e-07,6.6e-07,5.6e-07,6.6e-07,2016-08-30 05:30:00,0.22315239847358398,2GIVE/BTC,Bittrex
107,9e-07,9.2e-07,5.8e-07,6e-07,2016-08-31 05:30:00,1.9016530533849507,2GIVE/BTC,Bittrex
108,6.5e-07,9.3e-07,6.5e-07,9.3e-07,2016-09-01 05:30:00,0.167417274206104,2GIVE/BTC,Bittrex
109,6.1e-07,7.1e-07,5.5e-07,7e-07,2016-09-02 05:30:00,0.4750087521655128,2GIVE/BTC,Bittrex
110,6.1e-07,7.2e-07,5.6e-07,6.3e-07,2016-09-03 05:30:00,0.581088264155977,2GIVE/BTC,Bittrex
111,6.2e-07,7.1e-07,5.8e-07,6.1e-07,2016-09-04 05:30:00,0.0911722720141464,2GIVE/BTC,Bittrex
112,6.4e-07,6.6e-07,6.3e-07,6.3e-07,2016-09-05 05:30:00,0.4484152578249984,2GIVE/BTC,Bittrex
113,6.3e-07,6.5e-07,6.3e-07,6.3e-07,2016-09-06 05:30:00,0.0316665667419255,2GIVE/BTC,Bittrex
114,6.2e-07,6.2e-07,6.1e-07,6.1e-07,2016-09-07 05:30:00,0.0290145298499984,2GIVE/BTC,Bittrex
115,6e-07,6.1e-07,6e-07,6.1e-07,2016-09-08 05:30:00,0.0150043965,2GIVE/BTC,Bittrex
116,7e-07,7e-07,5.8e-07,6.1e-07,2016-09-09 05:30:00,0.5133368806020979,2GIVE/BTC,Bittrex
117,6e-07,6.7e-07,5.6e-07,6.6e-07,2016-09-10 05:30:00,0.9616642350762359,2GIVE/BTC,Bittrex
118,6.8e-07,7e-07,6.3e-07,6.6e-07,2016-09-11 05:30:00,0.42585100662837116,2GIVE/BTC,Bittrex
119,6.8e-07,6.8e-07,6.3e-07,6.3e-07,2016-09-12 05:30:00,0.1191025557019228,2GIVE/BTC,Bittrex
120,6.7e-07,6.7e-07,6.2e-07,6.3e-07,2016-09-13 05:30:00,0.1462621160829515,2GIVE/BTC,Bittrex
121,6.2e-07,6.7e-07,6.2e-07,6.3e-07,2016-09-14 05:30:00,0.1290864180505858,2GIVE/BTC,Bittrex
122,6.3e-07,6.6e-07,6.1e-07,6.1e-07,2016-09-15 05:30:00,0.083062392114303,2GIVE/BTC,Bittrex
123,6.6e-07,6.6e-07,6.6e-07,6.6e-07,2016-09-16 05:30:00,0.0235242134250024,2GIVE/BTC,Bittrex
124,6.4e-07,6.4e-07,5.7e-07,6.4e-07,2016-09-17 05:30:00,0.30521674375734403,2GIVE/BTC,Bittrex
125,5.9e-07,6e-07,5.9e-07,6e-07,2016-09-18 05:30:00,0.007501849999999999,2GIVE/BTC,Bittrex
126,6e-07,6e-07,5.9e-07,6e-07,2016-09-19 05:30:00,0.00851779180932,2GIVE/BTC,Bittrex
127,6.4e-07,6.4e-07,5.3e-07,5.9e-07,2016-09-20 05:30:00,0.406771063710592,2GIVE/BTC,Bittrex
128,6.4e-07,6.9e-07,5.6e-07,6.4e-07,2016-09-21 05:30:00,0.607432318430688,2GIVE/BTC,Bittrex
129,6.2e-07,6.2e-07,6.2e-07,6.2e-07,2016-09-22 05:30:00,0.00062,2GIVE/BTC,Bittrex
130,6e-07,6.2e-07,5.2e-07,6.1e-07,2016-09-23 05:30:00,0.31510654499999996,2GIVE/BTC,Bittrex
131,5.9e-07,6e-07,5.5e-07,6e-07,2016-09-24 05:30:00,0.010154352093270199,2GIVE/BTC,Bittrex
132,5.2e-07,5.6e-07,5.2e-07,5.6e-07,2016-09-25 05:30:00,0.1317612079040452,2GIVE/BTC,Bittrex
133,5.2e-07,5.5e-07,4.7e-07,5.3e-07,2016-09-27 05:30:00,0.7743097693107712,2GIVE/BTC,Bittrex
134,5.2e-07,5.4e-07,5.2e-07,5.4e-07,2016-09-28 05:30:00,0.0026102527454536,2GIVE/BTC,Bittrex
135,4.6e-07,5.3e-07,4.5e-07,5.2e-07,2016-09-29 05:30:00,0.0841917793316052,2GIVE/BTC,Bittrex
136,5.1e-07,5.3e-07,4.6e-07,4.9e-07,2016-09-30 05:30:00,0.040105679618319,2GIVE/BTC,Bittrex
137,5.3e-07,5.3e-07,4.8e-07,5e-07,2016-10-01 05:30:00,0.0524718094482861,2GIVE/BTC,Bittrex
138,4.9e-07,5.4e-07,4.9e-07,5.3e-07,2016-10-02 05:30:00,0.0402601953752684,2GIVE/BTC,Bittrex
139,5.3e-07,5.3e-07,4.6e-07,4.7e-07,2016-10-03 05:30:00,0.0672417050151877,2GIVE/BTC,Bittrex
140,5.1e-07,5.1e-07,4.7e-07,4.8e-07,2016-10-04 05:30:00,0.0066067184878059,2GIVE/BTC,Bittrex
141,4.7e-07,5.2e-07,4.7e-07,5.1e-07,2016-10-05 05:30:00,0.0878089046729653,2GIVE/BTC,Bittrex
142,4.8e-07,4.8e-07,4.8e-07,4.8e-07,2016-10-06 05:30:00,0.015466667733124799,2GIVE/BTC,Bittrex
143,4.5e-07,5e-07,4.1e-07,4.8e-07,2016-10-07 05:30:00,0.194730540254991,2GIVE/BTC,Bittrex
144,4.8e-07,4.8e-07,4.5e-07,4.5e-07,2016-10-08 05:30:00,0.06958915298009759,2GIVE/BTC,Bittrex
145,4.2e-07,4.6e-07,4.1e-07,4.5e-07,2016-10-09 05:30:00,0.0773730456990624,2GIVE/BTC,Bittrex
146,6.2e-07,8.4e-07,4.4e-07,4.4e-07,2016-10-10 05:30:00,1.9429921691151004,2GIVE/BTC,Bittrex
147,5.5e-07,6.1e-07,5.5e-07,6.1e-07,2016-10-11 05:30:00,0.1372927901009775,2GIVE/BTC,Bittrex
148,5.9e-07,6.6e-07,5.4e-07,5.6e-07,2016-10-12 05:30:00,0.40258494059659417,2GIVE/BTC,Bittrex
149,6.4e-07,6.6e-07,5.8e-07,5.9e-07,2016-10-13 05:30:00,0.252842730677312,2GIVE/BTC,Bittrex
150,6.3e-07,6.7e-07,6.3e-07,6.4e-07,2016-10-14 05:30:00,0.1701933464743911,2GIVE/BTC,Bittrex
151,6.8e-07,7.2e-07,6.1e-07,6.2e-07,2016-10-15 05:30:00,0.47548015432872875,2GIVE/BTC,Bittrex
152,6.7e-07,6.7e-07,6.7e-07,6.7e-07,2016-10-16 05:30:00,0.020375426077700202,2GIVE/BTC,Bittrex
153,6.8e-07,6.9e-07,6.7e-07,6.9e-07,2016-10-17 05:30:00,0.0060481245925452,2GIVE/BTC,Bittrex
154,7.1e-07,7.1e-07,6.6e-07,7e-07,2016-10-18 05:30:00,0.01144310736375,2GIVE/BTC,Bittrex
155,6.6e-07,6.7e-07,6.6e-07,6.7e-07,2016-10-19 05:30:00,0.014187537313435201,2GIVE/BTC,Bittrex
156,6.2e-07,7e-07,6.2e-07,7e-07,2016-10-20 05:30:00,0.02294,2GIVE/BTC,Bittrex
157,6.4e-07,6.4e-07,6e-07,6.2e-07,2016-10-21 05:30:00,0.0935298699462656,2GIVE/BTC,Bittrex
158,6.1e-07,6.4e-07,6.1e-07,6.4e-07,2016-10-22 05:30:00,0.012701717516300401,2GIVE/BTC,Bittrex
159,6.3e-07,6.3e-07,6e-07,6.1e-07,2016-10-23 05:30:00,0.023243266157857198,2GIVE/BTC,Bittrex
160,6.1e-07,6.5e-07,6.1e-07,6.1e-07,2016-10-24 05:30:00,0.1887739756300109,2GIVE/BTC,Bittrex
161,6e-07,6.5e-07,6e-07,6.5e-07,2016-10-25 05:30:00,0.09792700342654799,2GIVE/BTC,Bittrex
162,5.8e-07,6e-07,5.8e-07,6e-07,2016-10-26 05:30:00,0.0204798,2GIVE/BTC,Bittrex
163,6.1e-07,6.1e-07,5.5e-07,5.7e-07,2016-10-27 05:30:00,0.0164212,2GIVE/BTC,Bittrex
164,8.7e-07,8.7e-07,5.5e-07,5.7e-07,2016-10-28 05:30:00,0.3812258366466501,2GIVE/BTC,Bittrex
165,6.4e-07,6.4e-07,6e-07,6.3e-07,2016-10-29 05:30:00,0.0273794636365376,2GIVE/BTC,Bittrex
166,6.4e-07,6.4e-07,6.2e-07,6.3e-07,2016-10-30 05:30:00,0.0264741931555584,2GIVE/BTC,Bittrex
167,6e-07,6.1e-07,6e-07,6.1e-07,2016-11-01 05:30:00,0.007614751140005999,2GIVE/BTC,Bittrex
168,5.7e-07,6.2e-07,4.8e-07,6.2e-07,2016-11-02 05:30:00,0.22518070886654792,2GIVE/BTC,Bittrex
169,5.3e-07,6.1e-07,5.3e-07,6.1e-07,2016-11-03 05:30:00,0.0111012499999994,2GIVE/BTC,Bittrex
170,5.7e-07,5.7e-07,4.8e-07,5.3e-07,2016-11-04 05:30:00,0.049381382458638004,2GIVE/BTC,Bittrex
171,5.8e-07,5.8e-07,5.6e-07,5.6e-07,2016-11-05 05:30:00,0.0143624935320414,2GIVE/BTC,Bittrex
172,5.1e-07,5.8e-07,5.1e-07,5.8e-07,2016-11-06 05:30:00,0.005655634404311399,2GIVE/BTC,Bittrex
173,5.8e-07,5.8e-07,5.8e-07,5.8e-07,2016-11-07 05:30:00,0.0012575760499968,2GIVE/BTC,Bittrex
174,6e-07,6e-07,6e-07,6e-07,2016-11-08 05:30:00,0.060550270130664,2GIVE/BTC,Bittrex
175,4.9e-07,4.9e-07,4.9e-07,4.9e-07,2016-11-09 05:30:00,0.0008625880795664999,2GIVE/BTC,Bittrex
176,5.9e-07,5.9e-07,5.9e-07,5.9e-07,2016-11-10 05:30:00,0.0029925187032447996,2GIVE/BTC,Bittrex
177,5.9e-07,6e-07,5.9e-07,5.9e-07,2016-11-11 05:30:00,0.0121319374749997,2GIVE/BTC,Bittrex
178,5.8e-07,6e-07,5.8e-07,5.8e-07,2016-11-12 05:30:00,0.0073722420867996,2GIVE/BTC,Bittrex
179,5.7e-07,5.7e-07,5.7e-07,5.7e-07,2016-11-13 05:30:00,0.005022867926357701,2GIVE/BTC,Bittrex
180,6.2e-07,6.2e-07,5.7e-07,5.7e-07,2016-11-14 05:30:00,0.004469709719921599,2GIVE/BTC,Bittrex
181,6.2e-07,6.4e-07,5.1e-07,6.2e-07,2016-11-15 05:30:00,0.1092849476796148,2GIVE/BTC,Bittrex
182,5.5e-07,5.6e-07,5.5e-07,5.6e-07,2016-11-16 05:30:00,0.0495186226406245,2GIVE/BTC,Bittrex
183,4.7e-07,5.3e-07,4.7e-07,5.3e-07,2016-11-17 05:30:00,0.00705,2GIVE/BTC,Bittrex
184,5.1e-07,7e-07,4.7e-07,5.5e-07,2016-11-18 05:30:00,0.16700564132249818,2GIVE/BTC,Bittrex
185,4.2e-07,5.3e-07,4.2e-07,5.2e-07,2016-11-19 05:30:00,0.1733138031044364,2GIVE/BTC,Bittrex
186,5.1e-07,5.1e-07,4.2e-07,4.5e-07,2016-11-20 05:30:00,0.0614033063699916,2GIVE/BTC,Bittrex
187,4.5e-07,4.6e-07,4.5e-07,4.6e-07,2016-11-21 05:30:00,0.004835917805390999,2GIVE/BTC,Bittrex
188,4.9e-07,4.9e-07,4.9e-07,4.9e-07,2016-11-23 05:30:00,0.0008256499999999999,2GIVE/BTC,Bittrex
189,5.6e-07,7.2e-07,4.5e-07,4.5e-07,2016-11-24 05:30:00,0.47931399823671283,2GIVE/BTC,Bittrex
190,5.5e-07,6.7e-07,5.5e-07,6.7e-07,2016-11-25 05:30:00,0.015238402598589499,2GIVE/BTC,Bittrex
191,5.2e-07,5.5e-07,5e-07,5.5e-07,2016-11-26 05:30:00,0.0260697072419108,2GIVE/BTC,Bittrex
192,5.3e-07,6e-07,5.3e-07,6e-07,2016-11-27 05:30:00,0.00205534,2GIVE/BTC,Bittrex
193,6.2e-07,6.3e-07,5.1e-07,5.4e-07,2016-11-28 05:30:00,0.0260617920466136,2GIVE/BTC,Bittrex
194,5.8e-07,7.2e-07,5.8e-07,6.1e-07,2016-11-29 05:30:00,0.026373005292307197,2GIVE/BTC,Bittrex
