,circulating_supply,id,last_updated,market_cap_BTC,market_cap_USD,max_supply,name,price_BTC,rank,symbol,total_supply,volume_24hour_BTC,volume_24hour_USD,website_slug
0,17063637.0,1.0,1527678272.0,17063637.0,128171461689.0,21000000.0,Bitcoin,1.0,1.0,BTC,17063637.0,729603.6147818377,5480330000.0,bitcoin
1,99757849.0,1027.0,1527678260.0,7581731.0,56949262297.0,,Ethereum,0.0760013473,2.0,ETH,99757849.0,309101.656419992,2321780000.0,ethereum
2,39189968239.0,52.0,1527678242.0,3226276.0,24233783090.0,100000000000.0,Ripple,8.2324e-05,3.0,XRP,99992233977.0,51479.6215875112,386683000.0,ripple
3,17155688.0,1831.0,1527678261.0,2313834.0,17380083893.0,21000000.0,Bitcoin Cash,0.1348726865,4.0,BCH,17155688.0,89947.253367557,675628000.0,bitcoin-cash
4,889510938.0,1765.0,1527678259.0,1472812.0,11062847533.0,1000000000.0,EOS,0.0016557543,5.0,EOS,900000000.0,208057.6405400872,1562800000.0,eos
5,56758473.0,2.0,1527678241.0,918684.0,6900581642.0,84000000.0,Litecoin,0.0161858407,6.0,LTC,56758473.0,45438.6544150343,341307000.0,litecoin
6,25927070538.0,2010.0,1527678264.0,741506.0,5569731074.0,45000000000.0,Cardano,2.85997e-05,7.0,ADA,31112483745.0,30244.6421296752,227179000.0,cardano
7,18578653937.0,512.0,1527678245.0,709470.0,5329101095.0,,Stellar,3.81874e-05,8.0,XLM,103986155722.0,8648.7037002522,64963700.0,stellar
8,2779530283.0,1720.0,1527678258.0,593837.0,4460534608.0,2779530283.0,IOTA,0.0002136465,9.0,MIOTA,2779530283.0,15756.3590179168,118352000.0,iota
9,65748111645.0,1958.0,1527678264.0,568755.0,4272134775.0,,TRON,8.6505e-06,10.0,TRX,100000000000.0,65633.0794075123,492995000.0,tron
10,65000000.0,1376.0,1527678252.0,456284.0,3427320000.0,100000000.0,NEO,0.0070197487,11.0,NEO,100000000.0,13070.2613900508,98175700.0,neo
11,16082040.0,328.0,1527678245.0,339284.0,2548488672.0,,Monero,0.0210970554,12.0,XMR,16082040.0,6477.5979913145,48655700.0,monero
12,8099318.0,131.0,1527678242.0,338946.0,2545955686.0,18900000.0,Dash,0.0418487681,13.0,DASH,8099318.0,11932.068408202,89626300.0,dash
13,2507140814.0,825.0,1527678248.0,333584.0,2505679150.0,,Tether,0.0001330537,14.0,USDT,2830109970.0,378545.620112416,2843400000.0,tether
14,8999999999.0,873.0,1527678247.0,294659.0,2213298000.0,,NEM,3.27399e-05,15.0,XEM,8999999999.0,3101.5738785683,23297100.0,nem
15,526048018.0,1904.0,1527678262.0,244504.0,1836565142.0,,VeChain,0.0004647948,16.0,VEN,873378637.0,6947.16550088,52182800.0,vechain
16,101915950.0,1321.0,1527678252.0,207883.0,1561484845.0,,Ethereum Classic,0.002039745,17.0,ETC,101915950.0,18900.1222145598,141966000.0,ethereum-classic
17,114041290.0,1839.0,1527678261.0,191135.0,1435688609.0,,Binance Coin,0.0016760169,18.0,BNB,194972068.0,7089.4828912929,53251800.0,binance-coin
18,183890481254.0,372.0,1527678244.0,161502.0,1213103438.0,184470000000.0,Bytecoin,8.783e-07,19.0,BCN,183890481254.0,7465.5256424252,56076400.0,bytecoin-bcn
19,88632584.0,1684.0,1527678258.0,158495.0,1190512868.0,,Qtum,0.00178822,20.0,QTUM,100632584.0,15439.6395868669,115973000.0,qtum
20,102042552.0,1808.0,1527678260.0,145488.0,1092814504.0,,OmiseGO,0.0014257567,21.0,OMG,140245398.0,6096.2699264316,45791400.0,omisego
21,387231348.0,2099.0,1527678267.0,141651.0,1063995576.0,,ICON,0.000365805,22.0,ICX,400228740.0,10015.0837795452,75227100.0,icon
22,4028106.0,1437.0,1527678253.0,136999.0,1029048219.0,,Zcash,0.0340106612,23.0,ZEC,4028106.0,8289.4088702742,62264900.0,zcash
23,106429052.0,1214.0,1527678251.0,124505.0,935203791.0,,Lisk,0.0011698396,24.0,LSK,121678668.0,1752.7405084019,13165500.0,lisk
24,7329266952.0,2469.0,1527678274.0,113119.0,849681918.0,,Zilliqa,1.54339e-05,25.0,ZIL,12600000000.0,7931.3255353876,59575200.0,zilliqa
25,122972076.0,2566.0,1527678277.0,108683.0,816356274.0,,Ontology,0.000883799,26.0,ONT,1000000000.0,13250.1750676973,99527100.0,ontology
26,17035936.0,2083.0,1527678267.0,99325.0,746064971.0,21000000.0,Bitcoin Gold,0.0058303002,27.0,BTG,17135936.0,2005.6367804585,15065100.0,bitcoin-gold
27,233020472.0,1700.0,1527678258.0,98404.0,739147928.0,,Aeternity,0.0004222966,28.0,AE,273685830.0,1845.1070242752,13859300.0,aeternity
28,531358927.0,1896.0,1527678262.0,94047.0,706425752.0,,0x,0.0001769941,29.0,ZRX,1000000000.0,8672.4410161648,65142000.0,0x
29,7145743.0,1168.0,1527678250.0,87163.0,654710830.0,21000000.0,Decred,0.0121978252,30.0,DCR,7565743.0,618.4882138835,4645700.0,decred
30,987000000.0,1866.0,1527678261.0,84740.0,636516300.0,,Bytom,8.58564e-05,31.0,BTM,1407000000.0,8587.9691880853,64507500.0,bytom
31,258152120.0,1230.0,1527678250.0,81709.0,613746338.0,,Steem,0.0003165144,32.0,STEEM,275126214.0,1071.9455013593,8051790.0,steem
32,14997869020.0,693.0,1527678245.0,77827.0,584591438.0,16555000000.0,Verge,5.1892e-06,33.0,XVG,14997869020.0,2292.2419049496,17217900.0,verge
33,133248289.0,1567.0,1527678257.0,72722.0,546242034.0,133248290.0,Nano,0.0005457626,34.0,NANO,133248289.0,1431.1484707204,10749900.0,nano
34,34746385590.0,1042.0,1527678249.0,72473.0,544375098.0,,Siacoin,2.0858e-06,35.0,SC,34746385590.0,1926.1440640734,14468000.0,siacoin
35,2628910000.0,463.0,1527678246.0,71502.0,537081055.0,3600570502.0,BitShares,2.71985e-05,36.0,BTS,2628910000.0,1858.7130460714,13961500.0,bitshares
36,106152493.0,2606.0,1527678277.0,64908.0,487545660.0,,Wanchain,0.0006114562,37.0,WAN,210000000.0,1673.0747212896,12567100.0,wanchain
37,37004027.0,1789.0,1527678259.0,63410.0,476293632.0,53252246.0,Populous,0.0017135866,38.0,PPT,53252246.0,3159.592511629,23732900.0,populous
38,360265332.0,2021.0,1527678265.0,62497.0,469436536.0,1000000000.0,RChain,0.0001734741,39.0,RHOC,870663574.0,145.8680029502,1095670.0,rchain
39,618228.0,1518.0,1527678254.0,62088.0,466365064.0,,Maker,0.1004286829,40.0,MKR,1000000.0,17.3604583978,130401.0,maker
40,839242000.0,1455.0,1527678253.0,62067.0,466209841.0,,Golem,7.39562e-05,41.0,GNT,1000000000.0,4506.4555381301,33849700.0,golem-network-tokens
41,20447116.0,2575.0,1527678277.0,60912.0,457532849.0,21000000.0,Bitcoin Private,0.0029789999,42.0,BTCP,20447116.0,86.9760283729,653310.0,bitcoin-private
42,98875533.0,1343.0,1527678252.0,59440.0,446474448.0,,Stratis,0.0006011572,43.0,STRAT,98875533.0,788.5541671437,5923130.0,stratis
43,153756875.0,2222.0,1527678269.0,58959.0,442864389.0,210000000.0,Bitcoin Diamond,0.0003834568,44.0,BCD,156756875.0,276.5244202796,2077080.0,bitcoin-diamond
44,100000000.0,1274.0,1527678252.0,57960.0,435363000.0,,Waves,0.0005796045,45.0,WAVES,100000000.0,3633.72642577,27294300.0,waves
45,11000000.0,1104.0,1527678249.0,57238.0,429936100.0,,Augur,0.0052034513,46.0,REP,11000000.0,3415.0582183301,25651800.0,augur
46,114657296497.0,74.0,1527678248.0,52709.0,395913938.0,,Dogecoin,4.597e-07,47.0,DOGE,114657296497.0,1275.4939837953,9580720.0,dogecoin
47,427181.0,2349.0,1527678272.0,49213.0,369661140.0,,Mixin,0.1152051953,48.0,XIN,1000000.0,7.3883760374,55496.9,mixin
48,8400000000.0,2405.0,1527678273.0,47293.0,355236840.0,,IOST,5.6301e-06,49.0,IOST,21000000000.0,5772.6010400219,43360200.0,iostoken
49,175400000.0,2346.0,1527678272.0,47173.0,354332556.0,,WaykiChain,0.0002689439,50.0,WICC,210000000.0,1866.2615924104,14018200.0,waykichain
50,31144099.0,1925.0,1527678262.0,46478.0,349116011.0,100000000.0,Waltonchain,0.0014923623,51.0,WTC,70000000.0,804.7815448027,6045020.0,waltonchain
51,10321933618.0,109.0,1527678242.0,45621.0,342679939.0,21000000000.0,DigiByte,4.4199e-06,52.0,DGB,10321933618.0,340.9107247936,2560710.0,digibyte
52,3470483788.0,1759.0,1527678259.0,44783.0,336385317.0,,Status,1.29041e-05,53.0,SNT,6804870174.0,3197.8677686391,24020400.0,status
53,149727007.0,2062.0,1527678265.0,41568.0,312233214.0,,Aion,0.0002776254,54.0,AION,465934587.0,403.6967907362,3032320.0,aion
54,43047248.0,1903.0,1527678262.0,41242.0,309785646.0,84000000.0,Hshare,0.0009580676,55.0,HSR,43047248.0,4684.6917610346,35188500.0,hshare
55,45500000.0,1908.0,1527678262.0,37617.0,282555910.0,100000000.0,Nebulas,0.0008267482,56.0,NAS,100000000.0,5973.2033261531,44867000.0,nebulas-token
56,1000000000.0,1697.0,1527678258.0,37563.0,282149000.0,,Basic Attention Token,3.75629e-05,57.0,BAT,1500000000.0,375.077548999,2817350.0,basic-attention-token
57,572074043.0,1934.0,1527678262.0,37284.0,280053699.0,,Loopring,6.51732e-05,58.0,LRC,1374956262.0,2415.0156163049,18140100.0,loopring
58,2000000.0,1229.0,1527678251.0,36809.0,276488000.0,,DigixDAO,0.0184046074,59.0,DGD,2000000.0,259.1055172285,1946240.0,digixdao
59,687911950.0,2246.0,1527678269.0,36417.0,273542684.0,,CyberMiles,5.29386e-05,60.0,CMT,1000000000.0,14026.4505323922,105358000.0,cybermiles
60,104222414.0,1521.0,1527678254.0,36088.0,271072076.0,,Komodo,0.0003462613,61.0,KMD,104222414.0,213.719715951,1605330.0,komodo
61,998999495.0,1320.0,1527678252.0,34804.0,261424182.0,998999495.0,Ardor,3.48386e-05,62.0,ARDR,998999495.0,205.0395533178,1540130.0,ardor
62,102879876.0,1586.0,1527678255.0,33473.0,251427100.0,,Ark,0.0003253583,63.0,ARK,134129876.0,131.8442150444,990332.0,ark
63,250000000.0,2299.0,1527678270.0,33391.0,250815000.0,1000000000.0,aelf,0.0001335653,64.0,ELF,280000000.0,4780.4131863918,35907500.0,aelf
64,56341859.0,1169.0,1527678250.0,29331.0,220314135.0,,PIVX,0.0005205848,65.0,PIVX,56341859.0,629.2052858463,4726200.0,pivx
65,325226613094.0,1876.0,1527678261.0,29196.0,219303232.0,8000000000000.0,Dentacoin,8.98e-08,66.0,DCN,1963173416169.0,26.3574735934,197981.0,dentacoin
66,60000000.0,1750.0,1527678259.0,28911.0,217164000.0,100000000.0,GXChain,0.0004818555,67.0,GXS,100000000.0,3210.3155478754,24113900.0,gxchain
67,602654991.0,2588.0,1527678277.0,28613.0,214926055.0,,Loom Network,4.74789e-05,68.0,LOOM,1000000000.0,502.6213558627,3775380.0,loom-network
68,276420107.0,2496.0,1527678275.0,28461.0,213779441.0,,Polymath,0.0001029619,69.0,POLY,1000000000.0,1911.6061229761,14358800.0,polymath-network
69,52092694.0,1727.0,1527678259.0,27284.0,204937346.0,,Bancor,0.0005237506,70.0,BNT,76168998.0,1514.9147027577,11379100.0,bancor
70,452552412.0,291.0,1527678253.0,27251.0,204692624.0,,MaidSafeCoin,6.02162e-05,71.0,MAID,452552412.0,243.0858244424,1825910.0,maidsafecoin
71,59814050.0,213.0,1527678243.0,26969.0,202574037.0,,MonaCoin,0.0004508799,72.0,MONA,59814050.0,219.6387348264,1649790.0,monacoin
72,45295880.0,2027.0,1527678265.0,26377.0,198125085.0,210000000.0,Cryptonex,0.0005823191,73.0,CNX,106733506.0,183.9409003405,1381650.0,cryptonex
73,5024824.0,2492.0,1527678275.0,26255.0,197209771.0,,Elastos,0.0052250186,74.0,ELA,33573351.0,3016.7692221669,22660100.0,elastos
74,10128375.0,1785.0,1527678259.0,26113.0,196142061.0,100000000.0,Gas,0.0025781681,75.0,GAS,17190378.0,685.634330842,5150060.0,gas
75,149792458.0,2638.0,1527678278.0,26067.0,195801211.0,,Cortex,0.0001740226,76.0,CTXC,299792458.0,5205.4349533641,39100000.0,cortex
76,50000200.0,2502.0,1527678275.0,25919.0,194685279.0,,Huobi Token,0.0005183721,77.0,HT,500000000.0,11180.3556736578,83979900.0,huobi-token
77,534400015.0,541.0,1527678247.0,25085.0,188425704.0,888000000.0,Syscoin,4.69412e-05,78.0,SYS,534400015.0,156.5185092486,1175670.0,syscoin
78,306417022.0,2608.0,1527678278.0,24958.0,187468079.0,,Mithril,8.14507e-05,79.0,MITH,1000000000.0,4429.8384584457,33274200.0,mithril
79,28808713174.0,118.0,1527678242.0,24867.0,186783308.0,,ReddCoin,8.632e-07,80.0,RDD,28808713174.0,488.6132774537,3670160.0,reddcoin
80,8999674.0,1619.0,1527678256.0,24531.0,184262025.0,100000000.0,Skycoin,0.0027257708,81.0,SKY,25000000.0,345.2534687368,2593330.0,skycoin
81,29684331.0,2530.0,1527678276.0,23812.0,178862641.0,,Fusion,0.0008021815,82.0,FSN,57344000.0,1091.6050046729,8199460.0,fusion
82,350000000.0,2213.0,1527678270.0,22982.0,172623500.0,,QASH,6.56617e-05,83.0,QASH,1000000000.0,172.608761639,1296530.0,qash
83,76650532.0,1817.0,1527678260.0,22886.0,171904914.0,,Ethos,0.000298575,84.0,ETHOS,222295208.0,598.4998761879,4495560.0,ethos
84,134132697.0,1982.0,1527678263.0,22574.0,169559825.0,,Kyber Network,0.000168294,85.0,KNC,215625349.0,1962.2226541594,14739000.0,kyber-network
85,2036645.0,1710.0,1527678259.0,22353.0,167898402.0,,Veritaseum,0.0109751737,86.0,VERI,100000000.0,74.7966418954,561826.0,veritaseum
86,4858654389.0,1757.0,1527678259.0,22100.0,165999814.0,,FunFair,4.5485e-06,87.0,FUN,10999873621.0,422.3405020116,3172360.0,funfair
87,7113214016.0,2137.0,1527678267.0,21514.0,161596573.0,21000000000.0,Electroneum,3.0245e-06,88.0,ETN,7113214016.0,135.2680865567,1016050.0,electroneum
88,762609048.0,2585.0,1527678278.0,21165.0,158975770.0,,Centrality,2.7753e-05,89.0,CENNZ,1200000000.0,28.5078108151,214133.0,centrality
89,638596089.0,2416.0,1527678273.0,20815.0,156348119.0,,Theta Token,3.25947e-05,90.0,THETA,1000000000.0,5462.8443774646,41033500.0,theta-token
90,383021000.0,1984.0,1527678264.0,20746.0,155827498.0,,Substratum,5.41629e-05,91.0,SUB,472000000.0,596.790469927,4482720.0,substratum
91,238421940.0,2243.0,1527678269.0,20433.0,153478163.0,,Dragonchain,8.57e-05,92.0,DRGN,433494437.0,355.6150800519,2671160.0,dragonchain
92,756097560976.0,1993.0,1527678266.0,20260.0,152182024.0,,Kin,2.68e-08,93.0,KIN,10000000000000.0,151.418248045,1137360.0,kin
93,80070793.0,1637.0,1527678257.0,19670.0,147747428.0,,iExec RLC,0.0002456553,94.0,RLC,86999785.0,811.1438910027,6092810.0,rlc
94,50661936.0,1902.0,1527678262.0,19463.0,146196668.0,,MyBit Token,0.0003841811,95.0,MYB,180000000.0,14.1294941808,106132.0,mybit-token
