,id,name,symbol
0,custom_coin,Cryptocurrencies,CRYPTO
1,bitcoin,Bitcoin,BTC
2,ethereum,Ethereum,ETH
3,ripple,Ripple,XRP
4,bitcoin-cash,Bitcoin Cash,BCH
5,litecoin,Litecoin,LTC
6,eos,EOS,EOS
7,cardano,Cardano,ADA
8,stellar,Stellar,XLM
9,neo,NEO,NEO
10,iota,IOTA,MIOTA
11,monero,Monero,XMR
12,tron,TRON,TRX
13,dash,Dash,DASH
14,tether,Tether,USDT
15,nem,NEM,XEM
16,binance-coin,Binance Coin,BNB
17,ethereum-classic,Ethereum Classic,ETC
18,vechain,VeChain,VEN
19,qtum,Qtum,QTUM
20,verge,Verge,XVG
21,lisk,Lisk,LSK
22,omisego,OmiseGO,OMG
23,ontology,Ontology,ONT
24,icon,ICON,ICX
25,bitcoin-gold,Bitcoin Gold,BTG
26,nano,Nano,NANO
27,zcash,Zcash,ZEC
28,bytom,Bytom,BTM
29,steem,Steem,STEEM
30,populous,Populous,PPT
31,digixdao,DigixDAO,DGD
32,bytecoin-bcn,Bytecoin,BCN
33,bitcoin-diamond,Bitcoin Diamond,BCD
34,siacoin,Siacoin,SC
35,bitshares,BitShares,BTS
36,stratis,Stratis,STRAT
37,waves,Waves,WAVES
38,decred,Decred,DCR
39,rchain,RChain,RHOC
40,aeternity,Aeternity,AE
41,dogecoin,Dogecoin,DOGE
42,maker,Maker,MKR
43,status,Status,SNT
44,zilliqa,Zilliqa,ZIL
45,iostoken,IOStoken,IOST
46,0x,0x,ZRX
47,augur,Augur,REP
48,komodo,Komodo,KMD
49,aion,Aion,AION
50,ardor,Ardor,ARDR
51,loopring,Loopring,LRC
52,hshare,Hshare,HSR
53,waltonchain,Waltonchain,WTC
54,pivx,PIVX,PIVX
55,cryptonex,Cryptonex,CNX
56,ark,Ark,ARK
57,kucoin-shares,KuCoin Shares,KCS
58,basic-attention-token,Basic Attention Token,BAT
59,veritaseum,Veritaseum,VERI
60,qash,QASH,QASH
61,monacoin,MonaCoin,MONA
62,centrality,Centrality,CENNZ
63,digibyte,DigiByte,DGB
64,elastos,Elastos,ELA
65,factom,Factom,FCT
66,dragonchain,Dragonchain,DRGN
67,golem-network-tokens,Golem,GNT
68,nebulas-token,Nebulas,NAS
69,gxchain,GXChain,GXS
70,aelf,aelf,ELF
71,ethos,Ethos,ETHOS
72,substratum,Substratum,SUB
73,gas,Gas,GAS
74,electroneum,Electroneum,ETN
75,syscoin,Syscoin,SYS
76,funfair,FunFair,FUN
77,revain,Revain,R
78,kyber-network,Kyber Network,KNC
79,zcoin,ZCoin,XZC
80,gxshares,GXShares,GXS
81,nucleus-vision,Nucleus Vision,NCASH
82,maidsafecoin,MaidSafeCoin,MAID
83,byteball,Byteball Bytes,GBYTE
84,storm,Storm,STORM
85,reddcoin,ReddCoin,RDD
86,salt,SALT,SALT
87,nxt,Nxt,NXT
88,power-ledger,Power Ledger,POWR
89,dent,Dent,DENT
90,particl,Particl,PART
91,enigma-project,Enigma,ENG
92,request-network,Request Network,REQ
93,chainlink,ChainLink,LINK
94,bancor,Bancor,BNT
95,skycoin,Skycoin,SKY
96,wax,WAX,WAX
97,neblio,Neblio,NEBL
98,storj,Storj,STORJ
99,tenx,TenX,PAY
100,kin,Kin,KIN
101,dentacoin,Dentacoin,DCN
102,emercoin,Emercoin,EMC
103,cindicator,Cindicator,CND
104,genaro-network,Genaro Network,GNX
105,poa-network,POA Network,POA
106,achain,Achain,ACT
107,matrix-ai-network,Matrix AI Network,MAN
108,zencash,ZenCash,ZEN
109,vertcoin,Vertcoin,VTC
110,nexus,Nexus,NXS
111,iconomi,Iconomi,ICN
112,boscoin,BOScoin,BOS
113,fusion,Fusion,FSN
114,dropil,Dropil,DROP
115,enjin-coin,Enjin Coin,ENJ
116,nuls,Nuls,NULS
117,minexcoin,MinexCoin,MNX
118,credits,Credits,CS
119,xplay,XPA,XPA
120,high-performance-blockchain,High Performance Blockchain,HPB
121,polymath-network,Polymath,POLY
122,decentraland,Decentraland,MANA
123,metal,Metal,MTL
124,smartcash,SmartCash,SMART
125,civic,Civic,CVC
126,gamecredits,GameCredits,GAME
127,monaco,Monaco,MCO
128,singularitynet,SingularityNET,AGI
129,cube,Cube,AUTO
130,bitcore,Bitcore,BTX
131,rlc,iExec RLC,RLC
132,poet,Po.et,POE
133,blocknet,Blocknet,BLOCK
134,gnosis-gno,Gnosis,GNO
135,time-new-bank,Time New Bank,TNB
136,oyster,Oyster,PRL
137,genesis-vision,Genesis Vision,GVT
138,sirin-labs-token,SIRIN LABS Token,SRN
139,quantstamp,Quantstamp,QSP
140,aragon,Aragon,ANT
141,raiden-network-token,Raiden Network Token,RDN
142,theta-token,Theta Token,THETA
143,bitcoindark,BitcoinDark,BTCD
