,ask_amount,ask_amount_btc,ask_price,coin_x,exchange_x,timestamp_x,bid_amount,bid_amount_btc,bid_price
0,2161.546931,0.020750851,9.60E-06,EVR,Cryptopia,1.52757E+12,5185.955813,0.048229389,9.30E-06
1,1461.643836,0.014046397,9.61E-06,EVR,Cryptopia,1.52757E+12,10372.07822,0.096356607,9.29E-06
2,3429.602867,0.03350722,9.77E-06,EVR,Cryptopia,1.52757E+12,500,0.004625,9.25E-06
3,2965.095063,0.029057932,9.80E-06,EVR,Cryptopia,1.52757E+12,216.7209555,0.001996,9.21E-06
4,18405.87224,0.180561607,9.81E-06,EVR,Cryptopia,1.52757E+12,109.0512541,0.001,9.17E-06
5,50.76008146,0.000501002,9.87E-06,EVR,Cryptopia,1.52757E+12,105,0.0009618,9.16E-06
6,204.6121418,0.002033845,9.94E-06,EVR,Cryptopia,1.52757E+12,350,0.0031955,9.13E-06
7,861.5193515,0.008572118,9.95E-06,EVR,Cryptopia,1.52757E+12,2301.649448,0.02094501,9.10E-06
8,60826.16458,0.613736001,1.01E-05,EVR,Cryptopia,1.52757E+12,3773.413768,0.034224863,9.07E-06
9,2354.034466,0.023775748,1.01E-05,EVR,Cryptopia,1.52757E+12,4406.19864,0.03992016,9.06E-06
10,5000,0.05135,1.03E-05,EVR,Cryptopia,1.52757E+12,754.1712077,0.006825249,9.05E-06
11,4845.993226,0.04981681,1.03E-05,EVR,Cryptopia,1.52757E+12,110.864745,0.001001109,9.03E-06
12,4000,0.04116,1.03E-05,EVR,Cryptopia,1.52757E+12,4937.181388,0.044533376,9.02E-06
13,2301.563316,0.023706102,1.03E-05,EVR,Cryptopia,1.52757E+12,1700,0.0153,9.00E-06
14,3143.941414,0.032414036,1.03E-05,EVR,Cryptopia,1.52757E+12,9530.515118,0.0851075,8.93E-06
15,143.8776954,0.001486257,1.03E-05,EVR,Cryptopia,1.52757E+12,3000.681854,0.026766082,8.92E-06
16,763.4316252,0.007901517,1.04E-05,EVR,Cryptopia,1.52757E+12,71.57704546,0.00063131,8.82E-06
17,763.4316252,0.00792442,1.04E-05,EVR,Cryptopia,1.52757E+12,58,0.00050866,8.77E-06
18,763.4316252,0.007932055,1.04E-05,EVR,Cryptopia,1.52757E+12,20000.52587,0.174604591,8.73E-06
19,763.4316252,0.007954958,1.04E-05,EVR,Cryptopia,1.52757E+12,17406.96538,0.151440599,8.70E-06
20,763.4316252,0.007962592,1.04E-05,EVR,Cryptopia,1.52757E+12,60.86765606,0.000520418,8.55E-06
21,763.4316252,0.007985495,1.05E-05,EVR,Cryptopia,1.52757E+12,22763.46604,0.1944,8.54E-06
22,100.9991097,0.001059481,1.05E-05,EVR,Cryptopia,1.52757E+12,14970.47223,0.127698128,8.53E-06
23,2081.568923,0.021856474,1.05E-05,EVR,Cryptopia,1.52757E+12,1470.663942,0.012456524,8.47E-06
24,2749.468261,0.028896911,1.05E-05,EVR,Cryptopia,1.52757E+12,591.2322275,0.00499,8.44E-06
25,500,0.00527,1.05E-05,EVR,Cryptopia,1.52757E+12,1763.566162,0.014584692,8.27E-06
26,6402.77324,0.067613285,1.06E-05,EVR,Cryptopia,1.52757E+12,241.9393939,0.001996,8.25E-06
27,75.79012829,0.000802617,1.06E-05,EVR,Cryptopia,1.52757E+12,700,0.00574,8.20E-06
28,2097.758839,0.022341132,1.07E-05,EVR,Cryptopia,1.52757E+12,78.30893005,0.000637435,8.14E-06
29,15658.37902,0.167074904,1.07E-05,EVR,Cryptopia,1.52757E+12,1064.744078,0.008539248,8.02E-06
30,117.1792691,0.001253818,1.07E-05,EVR,Cryptopia,1.52757E+12,6737.52495,0.0539002,8.00E-06
31,3085.70874,0.033140512,1.07E-05,EVR,Cryptopia,1.52757E+12,483.0736827,0.003695514,7.65E-06
32,3284.414239,0.035471674,1.08E-05,EVR,Cryptopia,1.52757E+12,270.4607046,0.001996,7.38E-06
33,49,0.00053116,1.08E-05,EVR,Cryptopia,1.52757E+12,2201.186199,0.015408303,7.00E-06
34,10169.88471,0.110343249,1.09E-05,EVR,Cryptopia,1.52757E+12,2211.902126,0.015129411,6.84E-06
35,200,0.002174,1.09E-05,EVR,Cryptopia,1.52757E+12,6125.210193,0.041283917,6.74E-06
36,2200.266851,0.023982909,1.09E-05,EVR,Cryptopia,1.52757E+12,525.0441266,0.003176517,6.05E-06
37,700,0.007651,1.09E-05,EVR,Cryptopia,1.52757E+12,83,0.00050049,6.03E-06
38,500,0.00547,1.09E-05,EVR,Cryptopia,1.52757E+12,713.7054794,0.004296507,6.02E-06
39,11270.07494,0.123407321,1.10E-05,EVR,Cryptopia,1.52757E+12,110.1540679,0.000662026,6.01E-06
40,216.7282941,0.002377509,1.10E-05,EVR,Cryptopia,1.52757E+12,24949.8819,0.149699291,6.00E-06
41,6102.739211,0.067008077,1.10E-05,EVR,Cryptopia,1.52757E+12,5271.147845,0.02994012,5.68E-06
42,25420.86636,0.279375321,1.10E-05,EVR,Cryptopia,1.52757E+12,25752.36374,0.146015902,5.67E-06
43,17019.3561,0.187212917,1.10E-05,EVR,Cryptopia,1.52757E+12,8982.066225,0.050299571,5.60E-06
44,120,0.0013212,1.10E-05,EVR,Cryptopia,1.52757E+12,806.0246414,0.004481497,5.56E-06
45,91.72830809,0.001011763,1.10E-05,EVR,Cryptopia,1.52757E+12,21414.51991,0.11820815,5.52E-06
46,1126.877773,0.012508343,1.11E-05,EVR,Cryptopia,1.52757E+12,178.684672,0.000723673,4.05E-06
47,1098.235827,0.012234347,1.11E-05,EVR,Cryptopia,1.52757E+12,477,0.00192708,4.04E-06
48,1203.452886,0.0134185,1.12E-05,EVR,Cryptopia,1.52757E+12,284.3316217,0.000998004,3.51E-06
49,3000,0.03354,1.12E-05,EVR,Cryptopia,1.52757E+12,393.0947001,0.000518885,1.32E-06
50,137.3626374,0.001538462,1.12E-05,EVR,Cryptopia,1.52757E+12,17173.05846,0.022496707,1.31E-06
51,5650,0.063393,1.12E-05,EVR,Cryptopia,1.52757E+12,914.8369927,0.001097804,1.20E-06
52,4650,0.0522195,1.12E-05,EVR,Cryptopia,1.52757E+12,22351.10362,0.023021637,1.03E-06
53,8022.429841,0.090172111,1.12E-05,EVR,Cryptopia,1.52757E+12,1522.378971,0.000898204,5.90E-07
54,6000,0.0675,1.13E-05,EVR,Cryptopia,1.52757E+12,45363.81782,0.00998004,2.20E-07
55,1000,0.01126,1.13E-05,EVR,Cryptopia,1.52757E+12,50000,0.0105,2.10E-07
56,4372.917086,0.049326505,1.13E-05,EVR,Cryptopia,1.52757E+12,16633.39987,0.001996008,1.20E-07
57,1020.334694,0.011539985,1.13E-05,EVR,Cryptopia,1.52757E+12,62375.2495,0.00499002,8.00E-08
58,7674.390976,0.086874106,1.13E-05,EVR,Cryptopia,1.52757E+12,42771.59966,0.002994012,7.00E-08
59,33938.08755,0.384518532,1.13E-05,EVR,Cryptopia,1.52757E+12,99800.3992,0.003992016,4.00E-08
60,124,0.0014074,1.14E-05,EVR,Cryptopia,1.52757E+12,206569.5276,0.006197086,3.00E-08
61,17483.25722,0.198609802,1.14E-05,EVR,Cryptopia,1.52757E+12,449101.7964,0.008982036,2.00E-08
62,13236.62466,0.150765155,1.14E-05,EVR,Cryptopia,1.52757E+12,598802.3952,0.005988024,1.00E-08
63,1000,0.0114,1.14E-05,EVR,Cryptopia,1.52757E+12,,,
64,437.5502088,0.005014325,1.15E-05,EVR,Cryptopia,1.52757E+12,,,
65,50,0.0005745,1.15E-05,EVR,Cryptopia,1.52757E+12,,,
66,23076.73382,0.265382439,1.15E-05,EVR,Cryptopia,1.52757E+12,,,
67,60,0.0006948,1.16E-05,EVR,Cryptopia,1.52757E+12,,,
68,331.4257679,0.003841225,1.16E-05,EVR,Cryptopia,1.52757E+12,,,
69,600,0.006996,1.17E-05,EVR,Cryptopia,1.52757E+12,,,
70,857.4106082,0.010005982,1.17E-05,EVR,Cryptopia,1.52757E+12,,,
71,1000,0.01176,1.18E-05,EVR,Cryptopia,1.52757E+12,,,
72,882.9459051,0.01045408,1.18E-05,EVR,Cryptopia,1.52757E+12,,,
73,324.1877617,0.003841625,1.19E-05,EVR,Cryptopia,1.52757E+12,,,
74,2000,0.0238,1.19E-05,EVR,Cryptopia,1.52757E+12,,,
75,3570,0.0426615,1.20E-05,EVR,Cryptopia,1.52757E+12,,,
76,75,0.00089775,1.20E-05,EVR,Cryptopia,1.52757E+12,,,
77,1050,0.0125895,1.20E-05,EVR,Cryptopia,1.52757E+12,,,
78,9024.700083,0.108296401,1.20E-05,EVR,Cryptopia,1.52757E+12,,,
79,347.1018327,0.004175635,1.20E-05,EVR,Cryptopia,1.52757E+12,,,
80,944,0.0114224,1.21E-05,EVR,Cryptopia,1.52757E+12,,,
81,5000,0.061,1.22E-05,EVR,Cryptopia,1.52757E+12,,,
82,12171.67423,0.148616142,1.22E-05,EVR,Cryptopia,1.52757E+12,,,
83,15650,0.191243,1.22E-05,EVR,Cryptopia,1.52757E+12,,,
84,1343.504532,0.016498236,1.23E-05,EVR,Cryptopia,1.52757E+12,,,
85,448.0486934,0.005533401,1.24E-05,EVR,Cryptopia,1.52757E+12,,,
86,534.2046783,0.006624138,1.24E-05,EVR,Cryptopia,1.52757E+12,,,
87,3766.300579,0.046777453,1.24E-05,EVR,Cryptopia,1.52757E+12,,,
88,1249.205409,0.015565099,1.25E-05,EVR,Cryptopia,1.52757E+12,,,
89,1461.526211,0.018269078,1.25E-05,EVR,Cryptopia,1.52757E+12,,,
90,159.7140914,0.002004412,1.26E-05,EVR,Cryptopia,1.52757E+12,,,
91,1139.615315,0.014461718,1.27E-05,EVR,Cryptopia,1.52757E+12,,,
92,847.9218284,0.010777086,1.27E-05,EVR,Cryptopia,1.52757E+12,,,
93,569.6468509,0.007245908,1.27E-05,EVR,Cryptopia,1.52757E+12,,,
94,341.161666,0.004342988,1.27E-05,EVR,Cryptopia,1.52757E+12,,,
95,1300,0.016575,1.28E-05,EVR,Cryptopia,1.52757E+12,,,
96,143.9270064,0.001842266,1.28E-05,EVR,Cryptopia,1.52757E+12,,,
97,121.1923978,0.001554898,1.28E-05,EVR,Cryptopia,1.52757E+12,,,
98,100,0.001291,1.29E-05,EVR,Cryptopia,1.52757E+12,,,
99,10043.24952,0.130361379,1.30E-05,EVR,Cryptopia,1.52757E+12,,,
100,2161.546931,0.020750851,9.60E-06,PROC,Cryptopia,1.52757E+12,5185.955813,0.048229389,9.30E-06
101,1461.643836,0.014046397,9.61E-06,PROC,Cryptopia,1.52757E+12,10372.07822,0.096356607,9.29E-06
102,3429.602867,0.03350722,9.77E-06,PROC,Cryptopia,1.52757E+12,500,0.004625,9.25E-06
103,2965.095063,0.029057932,9.80E-06,PROC,Cryptopia,1.52757E+12,216.7209555,0.001996,9.21E-06
104,18405.87224,0.180561607,9.81E-06,PROC,Cryptopia,1.52757E+12,109.0512541,0.001,9.17E-06
105,50.76008146,0.000501002,9.87E-06,PROC,Cryptopia,1.52757E+12,105,0.0009618,9.16E-06
106,204.6121418,0.002033845,9.94E-06,PROC,Cryptopia,1.52757E+12,350,0.0031955,9.13E-06
107,861.5193515,0.008572118,9.95E-06,PROC,Cryptopia,1.52757E+12,2301.649448,0.02094501,9.10E-06
108,60826.16458,0.613736001,1.01E-05,PROC,Cryptopia,1.52757E+12,3773.413768,0.034224863,9.07E-06
109,2354.034466,0.023775748,1.01E-05,PROC,Cryptopia,1.52757E+12,4406.19864,0.03992016,9.06E-06
110,5000,0.05135,1.03E-05,PROC,Cryptopia,1.52757E+12,754.1712077,0.006825249,9.05E-06
111,4845.993226,0.04981681,1.03E-05,PROC,Cryptopia,1.52757E+12,110.864745,0.001001109,9.03E-06
112,4000,0.04116,1.03E-05,PROC,Cryptopia,1.52757E+12,4937.181388,0.044533376,9.02E-06
113,2301.563316,0.023706102,1.03E-05,PROC,Cryptopia,1.52757E+12,1700,0.0153,9.00E-06
114,3143.941414,0.032414036,1.03E-05,PROC,Cryptopia,1.52757E+12,9530.515118,0.0851075,8.93E-06
115,143.8776954,0.001486257,1.03E-05,PROC,Cryptopia,1.52757E+12,3000.681854,0.026766082,8.92E-06
116,763.4316252,0.007901517,1.04E-05,PROC,Cryptopia,1.52757E+12,71.57704546,0.00063131,8.82E-06
117,763.4316252,0.00792442,1.04E-05,PROC,Cryptopia,1.52757E+12,58,0.00050866,8.77E-06
118,763.4316252,0.007932055,1.04E-05,PROC,Cryptopia,1.52757E+12,20000.52587,0.174604591,8.73E-06
119,763.4316252,0.007954958,1.04E-05,PROC,Cryptopia,1.52757E+12,17406.96538,0.151440599,8.70E-06
120,763.4316252,0.007962592,1.04E-05,PROC,Cryptopia,1.52757E+12,60.86765606,0.000520418,8.55E-06
121,763.4316252,0.007985495,1.05E-05,PROC,Cryptopia,1.52757E+12,22763.46604,0.1944,8.54E-06
122,100.9991097,0.001059481,1.05E-05,PROC,Cryptopia,1.52757E+12,14970.47223,0.127698128,8.53E-06
123,2081.568923,0.021856474,1.05E-05,PROC,Cryptopia,1.52757E+12,1470.663942,0.012456524,8.47E-06
124,2749.468261,0.028896911,1.05E-05,PROC,Cryptopia,1.52757E+12,591.2322275,0.00499,8.44E-06
125,500,0.00527,1.05E-05,PROC,Cryptopia,1.52757E+12,1763.566162,0.014584692,8.27E-06
126,6402.77324,0.067613285,1.06E-05,PROC,Cryptopia,1.52757E+12,241.9393939,0.001996,8.25E-06
127,75.79012829,0.000802617,1.06E-05,PROC,Cryptopia,1.52757E+12,700,0.00574,8.20E-06
128,2097.758839,0.022341132,1.07E-05,PROC,Cryptopia,1.52757E+12,78.30893005,0.000637435,8.14E-06
129,15658.37902,0.167074904,1.07E-05,PROC,Cryptopia,1.52757E+12,1064.744078,0.008539248,8.02E-06
130,117.1792691,0.001253818,1.07E-05,PROC,Cryptopia,1.52757E+12,6737.52495,0.0539002,8.00E-06
131,3085.70874,0.033140512,1.07E-05,PROC,Cryptopia,1.52757E+12,483.0736827,0.003695514,7.65E-06
132,3284.414239,0.035471674,1.08E-05,PROC,Cryptopia,1.52757E+12,270.4607046,0.001996,7.38E-06
133,49,0.00053116,1.08E-05,PROC,Cryptopia,1.52757E+12,2201.186199,0.015408303,7.00E-06
134,10169.88471,0.110343249,1.09E-05,PROC,Cryptopia,1.52757E+12,2211.902126,0.015129411,6.84E-06
135,200,0.002174,1.09E-05,PROC,Cryptopia,1.52757E+12,6125.210193,0.041283917,6.74E-06
136,2200.266851,0.023982909,1.09E-05,PROC,Cryptopia,1.52757E+12,525.0441266,0.003176517,6.05E-06
137,700,0.007651,1.09E-05,PROC,Cryptopia,1.52757E+12,83,0.00050049,6.03E-06
138,500,0.00547,1.09E-05,PROC,Cryptopia,1.52757E+12,713.7054794,0.004296507,6.02E-06
139,11270.07494,0.123407321,1.10E-05,PROC,Cryptopia,1.52757E+12,110.1540679,0.000662026,6.01E-06
140,216.7282941,0.002377509,1.10E-05,PROC,Cryptopia,1.52757E+12,24949.8819,0.149699291,6.00E-06
141,6102.739211,0.067008077,1.10E-05,PROC,Cryptopia,1.52757E+12,5271.147845,0.02994012,5.68E-06
142,25420.86636,0.279375321,1.10E-05,PROC,Cryptopia,1.52757E+12,25752.36374,0.146015902,5.67E-06
143,17019.3561,0.187212917,1.10E-05,PROC,Cryptopia,1.52757E+12,8982.066225,0.050299571,5.60E-06
144,120,0.0013212,1.10E-05,PROC,Cryptopia,1.52757E+12,806.0246414,0.004481497,5.56E-06
145,91.72830809,0.001011763,1.10E-05,PROC,Cryptopia,1.52757E+12,21414.51991,0.11820815,5.52E-06
146,1126.877773,0.012508343,1.11E-05,PROC,Cryptopia,1.52757E+12,178.684672,0.000723673,4.05E-06
147,1098.235827,0.012234347,1.11E-05,PROC,Cryptopia,1.52757E+12,477,0.00192708,4.04E-06
148,1203.452886,0.0134185,1.12E-05,PROC,Cryptopia,1.52757E+12,284.3316217,0.000998004,3.51E-06
149,3000,0.03354,1.12E-05,PROC,Cryptopia,1.52757E+12,393.0947001,0.000518885,1.32E-06
150,137.3626374,0.001538462,1.12E-05,PROC,Cryptopia,1.52757E+12,17173.05846,0.022496707,1.31E-06
151,5650,0.063393,1.12E-05,PROC,Cryptopia,1.52757E+12,914.8369927,0.001097804,1.20E-06
152,4650,0.0522195,1.12E-05,PROC,Cryptopia,1.52757E+12,22351.10362,0.023021637,1.03E-06
153,8022.429841,0.090172111,1.12E-05,PROC,Cryptopia,1.52757E+12,1522.378971,0.000898204,5.90E-07
154,6000,0.0675,1.13E-05,PROC,Cryptopia,1.52757E+12,45363.81782,0.00998004,2.20E-07
155,1000,0.01126,1.13E-05,PROC,Cryptopia,1.52757E+12,50000,0.0105,2.10E-07
156,4372.917086,0.049326505,1.13E-05,PROC,Cryptopia,1.52757E+12,16633.39987,0.001996008,1.20E-07
157,1020.334694,0.011539985,1.13E-05,PROC,Cryptopia,1.52757E+12,62375.2495,0.00499002,8.00E-08
158,7674.390976,0.086874106,1.13E-05,PROC,Cryptopia,1.52757E+12,42771.59966,0.002994012,7.00E-08
159,33938.08755,0.384518532,1.13E-05,PROC,Cryptopia,1.52757E+12,99800.3992,0.003992016,4.00E-08
160,124,0.0014074,1.14E-05,PROC,Cryptopia,1.52757E+12,206569.5276,0.006197086,3.00E-08
161,17483.25722,0.198609802,1.14E-05,PROC,Cryptopia,1.52757E+12,449101.7964,0.008982036,2.00E-08
162,13236.62466,0.150765155,1.14E-05,PROC,Cryptopia,1.52757E+12,598802.3952,0.005988024,1.00E-08
163,1000,0.0114,1.14E-05,PROC,Cryptopia,1.52757E+12,,,
164,437.5502088,0.005014325,1.15E-05,PROC,Cryptopia,1.52757E+12,,,
165,50,0.0005745,1.15E-05,PROC,Cryptopia,1.52757E+12,,,
166,23076.73382,0.265382439,1.15E-05,PROC,Cryptopia,1.52757E+12,,,
167,60,0.0006948,1.16E-05,PROC,Cryptopia,1.52757E+12,,,
168,331.4257679,0.003841225,1.16E-05,PROC,Cryptopia,1.52757E+12,,,
169,600,0.006996,1.17E-05,PROC,Cryptopia,1.52757E+12,,,
170,857.4106082,0.010005982,1.17E-05,PROC,Cryptopia,1.52757E+12,,,
171,1000,0.01176,1.18E-05,PROC,Cryptopia,1.52757E+12,,,
172,882.9459051,0.01045408,1.18E-05,PROC,Cryptopia,1.52757E+12,,,
173,324.1877617,0.003841625,1.19E-05,PROC,Cryptopia,1.52757E+12,,,
174,2000,0.0238,1.19E-05,PROC,Cryptopia,1.52757E+12,,,
175,3570,0.0426615,1.20E-05,PROC,Cryptopia,1.52757E+12,,,
176,75,0.00089775,1.20E-05,PROC,Cryptopia,1.52757E+12,,,
177,1050,0.0125895,1.20E-05,PROC,Cryptopia,1.52757E+12,,,
178,9024.700083,0.108296401,1.20E-05,PROC,Cryptopia,1.52757E+12,,,
179,347.1018327,0.004175635,1.20E-05,PROC,Cryptopia,1.52757E+12,,,
180,944,0.0114224,1.21E-05,PROC,Cryptopia,1.52757E+12,,,
181,5000,0.061,1.22E-05,PROC,Cryptopia,1.52757E+12,,,
182,12171.67423,0.148616142,1.22E-05,PROC,Cryptopia,1.52757E+12,,,
183,15650,0.191243,1.22E-05,PROC,Cryptopia,1.52757E+12,,,
184,1343.504532,0.016498236,1.23E-05,PROC,Cryptopia,1.52757E+12,,,
185,448.0486934,0.005533401,1.24E-05,PROC,Cryptopia,1.52757E+12,,,
186,534.2046783,0.006624138,1.24E-05,PROC,Cryptopia,1.52757E+12,,,
187,3766.300579,0.046777453,1.24E-05,PROC,Cryptopia,1.52757E+12,,,
188,1249.205409,0.015565099,1.25E-05,PROC,Cryptopia,1.52757E+12,,,
189,1461.526211,0.018269078,1.25E-05,PROC,Cryptopia,1.52757E+12,,,
190,159.7140914,0.002004412,1.26E-05,PROC,Cryptopia,1.52757E+12,,,
191,1139.615315,0.014461718,1.27E-05,PROC,Cryptopia,1.52757E+12,,,
192,847.9218284,0.010777086,1.27E-05,PROC,Cryptopia,1.52757E+12,,,
193,569.6468509,0.007245908,1.27E-05,PROC,Cryptopia,1.52757E+12,,,
194,341.161666,0.004342988,1.27E-05,PROC,Cryptopia,1.52757E+12,,,
195,1300,0.016575,1.28E-05,PROC,Cryptopia,1.52757E+12,,,
196,143.9270064,0.001842266,1.28E-05,PROC,Cryptopia,1.52757E+12,,,
197,121.1923978,0.001554898,1.28E-05,PROC,Cryptopia,1.52757E+12,,,
198,100,0.001291,1.29E-05,PROC,Cryptopia,1.52757E+12,,,
199,10043.24952,0.130361379,1.30E-05,PROC,Cryptopia,1.52757E+12,,,
