coin,exchange,time,open,high,low,close,volumeto,RSI,MFI,UPPERBAND,MIDDLEBAND,LOWERBAND,Accumulation/Distribution Oscillator,Accumulation/Distribution Line (AD)
DTB,Bittrex,2017-11-14 05:30:00,5.9499999999999996e-05,5.96e-05,5.6999999999999996e-05,5.6999999999999996e-05,2.39,,,,,,,-2.39
DTB,Bittrex,2017-11-15 05:30:00,5.6999999999999996e-05,5.7999999999999994e-05,5.21e-05,5.520000000000001e-05,2.64,,,,,,,-2.2557627118643975
DTB,Bittrex,2017-11-16 05:30:00,5.520000000000001e-05,6.56e-05,5.02e-05,5.1e-05,16.19,,,,,,,-16.763684789786478
DTB,Bittrex,2017-11-17 05:30:00,5.1e-05,5.36e-05,4.8899999999999996e-05,4.94e-05,4.92,,,,,,,-20.63687627914817
DTB,Bittrex,2017-11-18 05:30:00,4.94e-05,5.2300000000000004e-05,4.7499999999999996e-05,4.83e-05,4.77,,,,,,,-23.816876279148158
DTB,Bittrex,2017-11-19 05:30:00,4.83e-05,5.07e-05,4.73e-05,4.8100000000000004e-05,5.01,,,,,,,-26.46922922032461
DTB,Bittrex,2017-11-20 05:30:00,4.8100000000000004e-05,5.720000000000001e-05,4.8100000000000004e-05,5.07e-05,27.05,,,,,,,-38.06208636318179
DTB,Bittrex,2017-11-21 05:30:00,5.07e-05,9.1e-05,5e-05,7.42e-05,181.3,,,,,,,-5.339647338791565
DTB,Bittrex,2017-11-22 05:30:00,7.42e-05,9.7e-05,6.65e-05,9.4e-05,66.08,,,,,,,47.74100839891333
DTB,Bittrex,2017-11-23 05:30:00,9.4e-05,9.940000000000002e-05,8.109999999999999e-05,8.43e-05,38.55,,,,,,18.09933022473242,22.67297561202811
DTB,Bittrex,2017-11-24 05:30:00,8.43e-05,8.43e-05,7.659999999999999e-05,7.97e-05,10.51,,,,,,15.392487373283679,20.625573014625523
DTB,Bittrex,2017-11-25 05:30:00,7.97e-05,8.01e-05,7.140000000000001e-05,7.28e-05,18.98,,,,,,8.790350092387246,7.7540787617518845
DTB,Bittrex,2017-11-26 05:30:00,7.28e-05,7.5e-05,6.9e-05,6.95e-05,5.65,,,,,,3.792246953924712,3.045745428418549
DTB,Bittrex,2017-11-27 05:30:00,6.95e-05,8.88e-05,6.65e-05,6.979999999999999e-05,21.15,,,,,,-3.3350227444741396,-11.844613315976098
